  longitude ,  latitude ,high;roll,yaw,pitch;n_vel,e_vel,u_vel
118.80833781,31.89050881,8.38,0.67,264.30,-0.88,-0.17,-1.85,0.03
118.80833682,31.89050874,8.38,0.69,264.34,-0.92,-0.16,-1.89,0.01
118.80833581,31.89050866,8.38,0.70,264.37,-0.90,-0.17,-1.91,-0.01
118.80833479,31.89050858,8.37,0.71,264.42,-0.87,-0.18,-1.96,-0.01
118.80833374,31.89050850,8.37,0.72,264.45,-0.92,-0.18,-1.98,0.02
118.80833268,31.89050841,8.38,0.70,264.49,-0.97,-0.19,-2.02,0.01
118.80833160,31.89050832,8.38,0.71,264.52,-1.00,-0.19,-2.04,0.00
118.80833051,31.89050822,8.38,0.71,264.56,-0.96,-0.19,-2.07,-0.00
118.80832939,31.89050813,8.38,0.72,264.60,-0.97,-0.19,-2.12,0.00
118.80832826,31.89050803,8.38,0.69,264.63,-1.00,-0.20,-2.14,0.02
118.80832711,31.89050794,8.38,0.73,264.66,-1.03,-0.19,-2.18,-0.01
118.80832595,31.89050785,8.38,0.75,264.69,-1.03,-0.19,-2.19,-0.01
118.80832477,31.89050775,8.38,0.71,264.73,-0.99,-0.20,-2.24,-0.02
118.80832357,31.89050765,8.38,0.68,264.76,-1.03,-0.22,-2.26,0.01
118.80832237,31.89050754,8.38,0.65,264.80,-1.06,-0.22,-2.29,-0.00
118.80832115,31.89050744,8.38,0.65,264.83,-1.04,-0.21,-2.31,-0.02
118.80831991,31.89050734,8.37,0.63,264.85,-1.00,-0.21,-2.34,-0.01
118.80831866,31.89050725,8.37,0.68,264.88,-1.02,-0.20,-2.38,-0.01
118.80831740,31.89050715,8.37,0.72,264.90,-1.04,-0.20,-2.39,-0.00
118.80831612,31.89050706,8.37,0.76,264.93,-1.03,-0.19,-2.44,-0.02
118.80831483,31.89050697,8.37,0.80,264.95,-1.03,-0.21,-2.45,-0.01
118.80831352,31.89050687,8.37,0.81,264.99,-1.01,-0.22,-2.49,-0.00
