speed,steeringAngle
0.00,-5.20
0.00,-5.20
0.00,-5.20
0.00,-5.20
0.00,-5.30
0.00,-5.20
0.00,-5.10
0.00,-5.20
0.00,-5.30
0.00,-5.80
0.01,-5.80
0.02,-5.80
0.02,-5.80
0.02,-5.80
0.03,-5.90
0.05,-5.90
0.38,-5.90
0.41,-6.30
0.43,-6.30
0.46,-6.40
0.50,-6.50
0.53,-6.60
0.57,-6.90
1.14,-6.90
1.19,-10.80
1.24,-10.80
1.28,-10.70
1.33,-10.70
1.37,-10.70
1.41,-10.60
1.98,-5.40
2.02,-4.80
2.06,-4.30
2.10,-3.80
2.15,-3.40
2.19,-3.00
2.22,-2.70
2.65,-2.70
2.68,-2.40
2.72,-2.40
2.74,-2.40
2.77,-2.40
2.81,-2.30
2.85,-2.30
3.22,-2.30
3.26,-1.70
3.29,-1.70
3.32,-1.70
3.36,-1.70
3.38,-1.70
3.40,-1.80
3.81,-1.80
3.85,-1.80
3.88,-1.80
3.91,-1.80
3.93,-1.80
3.97,-1.90
3.99,-2.00
4.40,-3.10
4.43,-3.40
4.46,-3.60
4.48,-3.70
4.51,-3.70
4.55,-3.70
4.93,-3.70
4.96,-4.10
4.99,-4.20
5.03,-4.10
5.07,-4.00
5.12,-3.80
5.14,-3.70
5.60,-3.30
5.63,-3.30
5.67,-3.30
5.70,-3.50
5.75,-3.60
5.78,-3.70
5.82,-3.80
6.19,-3.80
6.23,-3.80
6.25,-4.20
6.28,-4.60
6.32,-4.90
6.35,-5.10
6.37,-5.20
6.72,-5.20
6.74,-6.80
6.76,-7.20
6.79,-7.40
6.81,-7.40
6.84,-7.40
7.13,-7.20
7.16,-6.80
7.18,-6.60
7.20,-6.30
7.22,-6.10
7.26,-5.90
7.55,-5.90
7.57,-5.60
7.59,-5.70
7.61,-5.80
7.63,-5.90
7.66,-5.90
7.91,-5.60
7.92,-5.70
7.93,-5.70
7.93,-5.70
7.93,-5.70
7.94,-5.70
7.99,-5.70
7.99,-6.50
7.99,-6.80
7.99,-7.00
7.99,-7.10
8.00,-7.00
7.99,-6.80
8.00,-6.40
7.99,-6.30
7.99,-6.30
7.99,-6.30
7.98,-6.40
7.96,-6.40
7.96,-5.80
7.96,-5.80
7.96,-5.60
7.97,-5.30
7.97,-4.90
7.96,-4.60
7.96,0.10
7.96,0.50
7.96,0.70
7.94,0.90
7.94,1.00
7.93,1.00
7.93,1.50
7.93,1.50
7.92,1.50
7.92,1.40
7.92,1.40
7.91,1.40
7.92,1.40
7.92,1.40
7.92,1.60
7.93,1.80
7.93,1.90
7.99,1.90
7.99,15.90
7.99,17.60
7.99,19.40
8.00,21.30
8.02,23.20
8.09,25.20
8.10,46.80
8.10,48.10
8.12,49.20
8.12,50.30
8.11,51.30
8.15,51.30
8.15,59.90
8.15,60.10
8.15,60.10
8.16,60.10
8.17,59.90
8.22,59.60
8.23,55.00
8.23,54.70
8.24,54.30
8.24,53.80
8.24,53.20
8.27,53.20
8.26,46.20
8.26,45.70
8.27,45.30
8.29,44.90
8.29,44.40
8.30,43.90
8.34,36.50
8.34,36.20
8.35,35.80
8.35,35.40
8.35,34.80
8.36,34.10
8.37,33.30
8.42,33.30
8.42,8.60
8.43,6.50
8.44,4.40
8.44,2.40
8.44,0.40
8.43,-1.60
8.47,-1.60
8.47,-24.00
8.47,-26.30
8.48,-28.60
8.49,-31.00
8.51,-33.70
8.55,-74.30
8.55,-76.20
8.56,-77.80
8.57,-79.10
8.56,-80.30
8.56,-81.20
8.56,-81.20
8.56,-81.20
8.56,-81.30
8.56,-81.50
8.57,-81.60
8.57,-81.70
8.57,-81.60
8.53,-81.00
8.52,-80.90
8.52,-80.80
8.51,-80.80
8.51,-80.80
8.51,-80.80
8.51,-80.80
8.51,-80.80
8.52,-80.20
8.52,-79.90
8.52,-79.70
8.52,-79.40
8.52,-79.10
8.50,-78.80
8.47,-78.80
8.47,-72.50
8.47,-72.00
8.46,-71.60
8.47,-71.10
8.47,-70.70
8.48,-70.30
8.45,-61.60
8.45,-60.30
8.45,-59.00
8.44,-57.50
8.43,-55.80
8.44,-54.10
8.44,-52.20
8.39,-24.70
8.39,-22.60
8.39,-20.60
8.39,-18.70
8.39,-16.90
8.38,-15.10
8.38,-15.10
8.37,0.10
8.36,1.10
8.36,2.00
8.34,2.80
8.33,3.60
8.34,4.30
8.32,19.60
8.32,21.30
8.32,23.00
8.32,24.80
8.32,26.60
8.30,28.40
8.30,30.10
8.28,52.60
8.29,53.90
8.28,54.80
8.29,55.70
8.29,56.30
8.28,56.60
8.27,56.60
8.26,52.30
8.26,52.10
8.25,51.80
8.24,51.60
8.23,51.30
8.19,47.40
8.19,46.90
8.21,46.20
8.21,45.40
8.21,44.70
8.21,43.90
8.18,43.90
8.17,32.40
8.17,31.20
8.16,30.00
8.16,28.70
8.15,27.40
8.14,26.00
8.14,9.10
8.14,7.70
8.14,6.40
8.14,5.00
8.15,3.60
8.12,3.60
8.12,1.10
8.12,1.30
8.12,1.30
8.11,1.20
8.11,1.00
8.12,0.60
8.12,0.10
8.12,-0.10
8.11,-0.30
8.11,-0.40
8.11,-0.40
8.11,-0.40
8.10,-0.20
8.10,0.00
8.10,0.30
8.08,0.50
8.08,0.50
8.08,0.40
8.09,0.20
8.06,-0.10
8.07,-0.40
8.07,-0.70
8.08,-0.70
8.09,-0.60
8.09,-0.40
8.08,-0.10
8.06,0.60
8.05,0.60
8.04,0.40
8.03,0.10
8.03,-0.20
8.05,-0.40
8.04,-0.70
8.06,-0.50
8.06,-0.30
8.06,0.00
8.05,0.20
8.05,0.30
7.99,0.20
7.99,0.00
7.99,-0.20
7.99,-0.40
7.99,-0.50
7.99,-0.60
7.99,-0.40
7.89,0.00
7.87,0.20
7.86,0.40
7.85,0.40
7.85,0.20
7.83,0.00
7.71,0.00
7.69,-0.20
7.67,-0.20
7.66,-0.20
7.65,-0.10
7.65,0.00
7.63,0.20
7.62,0.30
7.37,0.50
7.35,0.30
7.34,0.10
7.32,-0.20
7.29,-0.40
7.27,-0.50
7.24,-0.40
6.93,0.00
6.89,0.30
6.86,0.50
6.84,0.70
6.81,0.80
6.78,0.70
6.36,0.70
6.33,-0.20
6.29,-0.40
6.26,-0.60
6.22,-0.60
6.18,-0.50
6.14,-0.30
5.56,0.20
5.51,0.30
5.46,0.20
5.41,0.10
5.36,-0.10
5.30,-0.20
5.25,-0.40
4.49,-0.10
4.44,0.10
4.39,0.40
4.33,0.60
4.28,0.60
4.23,0.60
3.54,0.60
3.49,0.30
3.42,0.10
3.37,0.00
3.33,-0.10
3.28,0.00
2.66,0.10
2.63,0.70
2.58,0.70
2.54,0.50
2.50,0.20
2.46,0.00
1.97,0.00
1.93,0.20
1.89,0.50
1.85,0.80
1.81,0.80
1.77,0.70
1.32,0.30
1.28,0.30
1.25,0.20
1.22,0.20
1.18,0.20
1.13,0.30
1.10,0.20
0.69,0.20
0.67,0.20
