speed,steeringAngle
0.00,6.60
0.00,6.60
0.00,6.60
0.00,6.60
0.00,5.70
0.00,5.60
0.00,5.40
0.00,5.30
0.00,5.10
0.00,4.80
0.00,3.10
0.00,3.10
0.00,3.10
0.00,3.10
0.00,3.10
0.00,3.10
0.05,3.10
0.07,3.00
0.10,3.00
0.13,2.90
0.18,2.80
0.22,2.70
0.24,2.50
0.25,2.20
0.65,2.20
0.69,-1.60
0.73,-1.60
0.77,-1.60
0.80,-1.60
0.86,-1.60
0.90,-1.50
1.41,-1.50
1.45,-1.50
1.49,-1.50
1.54,-1.60
1.57,-1.60
1.61,-1.60
2.05,-1.70
2.07,-1.70
2.11,-1.80
2.14,-1.80
2.17,-1.80
2.19,-1.80
2.55,-1.80
2.57,-3.10
2.59,-3.10
2.62,-3.10
2.64,-3.00
2.67,-3.00
2.69,-3.00
3.01,-3.40
3.04,-3.50
3.06,-3.50
3.08,-3.50
3.11,-3.60
3.12,-3.70
3.39,-3.80
3.42,-7.80
3.44,-8.00
3.46,-8.00
3.48,-7.90
3.51,-7.80
3.53,-7.60
3.56,-7.40
3.84,-7.40
3.85,-7.10
3.88,-7.20
3.89,-7.30
3.92,-7.30
3.94,-7.30
3.97,-7.20
4.27,-5.80
4.31,-5.80
4.32,-5.80
4.35,-5.80
4.37,-5.70
4.39,-5.70
4.64,-5.60
4.66,-5.80
4.68,-5.90
4.69,-5.90
4.71,-6.00
4.73,-6.10
4.76,-6.00
4.94,-5.90
4.96,-6.30
4.97,-6.30
4.99,-6.30
5.00,-6.50
5.02,-6.70
5.03,-6.90
5.17,-7.00
5.19,-7.10
5.20,-7.10
5.21,-7.10
5.21,-7.00
5.23,-6.90
5.30,-7.00
5.31,-7.10
5.30,-7.10
5.30,-7.20
5.30,-7.30
5.31,-7.40
5.31,-7.40
5.32,-7.40
5.32,-7.30
5.33,-7.20
5.33,-7.10
5.33,-7.10
5.33,-7.30
5.33,-7.50
5.35,-8.00
5.35,-8.20
5.35,-8.30
5.35,-8.50
5.35,-8.60
5.35,-8.60
5.36,-7.80
5.36,-7.80
5.36,-7.80
5.36,-7.90
5.35,-8.00
5.36,-8.00
5.36,-8.00
5.38,-8.00
5.38,-7.30
5.38,-7.10
5.38,-6.90
5.38,-6.90
5.39,-6.80
5.39,-6.90
5.41,-6.90
5.41,-6.70
5.41,-6.60
5.41,-6.50
5.41,-6.30
5.41,-6.20
5.41,-6.00
5.42,-3.80
5.42,-3.90
5.42,-3.90
5.42,-3.90
5.42,-3.80
5.42,-3.70
5.43,-3.50
5.44,-1.50
5.45,-1.20
5.46,-0.90
5.45,-0.70
5.45,-0.40
5.45,-0.10
5.47,-0.10
5.47,0.40
5.47,0.50
5.46,0.60
5.46,0.60
5.47,0.70
5.47,0.70
5.49,0.90
5.49,0.90
5.49,0.90
5.49,1.10
5.49,1.30
5.49,1.50
5.50,1.70
5.50,4.60
5.50,5.00
5.50,5.50
5.51,6.00
5.51,6.50
5.51,7.10
5.52,7.10
5.52,20.00
5.52,21.30
5.52,22.70
5.52,24.10
5.52,25.50
5.53,26.80
5.54,40.40
5.54,41.40
5.54,42.50
5.54,43.50
5.54,44.50
5.55,45.50
5.56,46.50
5.56,55.60
5.56,56.30
5.56,57.10
5.57,57.80
5.57,58.60
5.57,59.30
5.56,64.50
5.57,64.70
5.57,64.70
5.57,64.70
5.57,64.70
5.57,64.60
5.56,64.30
5.57,64.20
5.57,64.10
5.57,64.10
5.57,64.10
5.57,64.10
5.57,62.50
5.57,62.30
5.57,62.00
5.58,61.60
5.57,61.20
5.56,51.50
5.57,50.40
5.57,49.20
5.57,48.00
5.56,46.70
5.53,45.40
5.53,26.10
5.54,24.50
5.54,22.70
5.54,20.90
5.54,19.10
5.52,-5.00
5.52,-6.00
5.52,-6.70
5.52,-7.10
5.51,-7.20
5.50,-7.10
5.50,-6.70
5.50,-6.10
5.49,-6.20
5.49,-6.40
5.49,-6.70
5.49,-6.90
5.48,-7.40
5.47,-24.90
5.46,-26.70
5.46,-28.50
5.46,-30.30
5.45,-32.30
5.45,-34.10
5.44,-51.80
5.43,-52.80
5.43,-53.80
5.42,-54.80
5.42,-55.70
5.42,-56.50
5.41,-57.30
5.41,-63.50
5.40,-63.80
5.39,-64.20
5.39,-64.60
5.39,-65.00
5.39,-65.40
5.38,-70.20
5.38,-70.40
5.38,-70.40
