angleSpeedx_y_z;lineAccx_y_z
40.97,-39.46,0.04,-0.00,-0.14,9.80
-0.01,0.02,0.05,-0.00,-0.15,9.81
-0.03,-0.01,0.05,0.00,-0.14,9.82
-0.01,0.00,0.06,-0.00,-0.14,9.81
-0.03,-0.00,0.06,0.00,-0.13,9.81
-0.02,-0.03,0.06,-0.00,-0.14,9.81
-0.03,-0.01,0.08,-0.00,-0.16,9.79
-0.03,-0.00,0.08,-0.00,-0.16,9.79
-0.04,-0.01,0.05,-0.00,-0.15,9.79
-0.02,-0.03,0.06,-0.00,-0.15,9.78
-0.02,-0.03,0.03,-0.00,-0.15,9.78
0.01,-0.00,0.06,0.01,-0.15,9.81
-0.00,-0.02,0.07,0.02,-0.14,9.81
0.00,-0.02,0.05,0.02,-0.14,9.81
0.01,-0.02,0.05,0.02,-0.14,9.81
-0.01,-0.02,0.06,0.03,-0.14,9.82
-0.00,0.00,0.07,0.03,-0.14,9.82
0.00,-0.03,0.07,0.02,-0.14,9.82
-0.00,-0.01,0.09,0.03,-0.13,9.81
0.00,-0.01,0.07,0.04,-0.13,9.81
-0.01,-0.02,0.07,0.02,-0.14,9.81
-0.01,-0.01,0.07,0.02,-0.14,9.81
-0.01,-0.02,0.07,0.02,-0.14,9.81
-0.02,-0.03,0.06,0.02,-0.14,9.80
-0.04,0.02,0.06,0.03,-0.14,9.79
-0.03,0.05,0.06,0.02,-0.14,9.79
-0.03,0.07,0.06,0.02,-0.14,9.79
-0.01,0.06,0.08,0.01,-0.14,9.78
-0.01,0.04,0.09,0.02,-0.14,9.79
-0.02,0.01,0.06,0.01,-0.15,9.78
-0.01,0.00,0.05,0.00,-0.15,9.79
-0.02,0.03,0.06,0.00,-0.15,9.80
-0.01,0.02,0.07,0.01,-0.15,9.80
-0.04,-0.01,0.05,0.01,-0.15,9.80
-0.03,0.02,0.05,0.01,-0.15,9.80
-0.03,-0.01,0.05,0.00,-0.15,9.80
-0.03,-0.00,0.05,0.00,-0.16,9.81
0.00,-0.01,0.06,0.01,-0.16,9.81
-0.01,-0.00,0.06,0.00,-0.16,9.81
-0.01,-0.01,0.05,0.00,-0.16,9.81
-0.00,0.00,0.04,0.01,-0.16,9.81
0.03,0.00,0.04,0.01,-0.14,9.81
0.01,-0.01,0.06,0.01,-0.14,9.81
-0.00,-0.02,0.05,0.01,-0.14,9.80
