speed,steeringAngle
0.00,3.30
0.00,3.30
0.00,3.30
0.00,3.30
0.00,3.40
0.00,3.50
0.00,3.50
0.00,3.50
0.00,3.50
0.00,3.50
0.00,3.50
0.00,3.60
0.00,3.70
0.00,3.70
0.00,3.70
0.00,3.70
0.00,3.80
0.00,3.80
0.00,5.00
0.00,5.20
0.00,5.30
0.00,5.40
0.00,5.50
0.00,5.50
0.01,5.50
0.01,5.50
0.02,5.50
0.05,5.50
0.06,5.50
0.09,5.50
0.51,5.50
0.55,6.50
0.59,6.80
0.63,7.10
0.67,7.50
0.72,7.80
0.75,8.10
1.30,9.50
1.34,9.50
1.38,9.60
1.41,9.60
1.46,9.70
1.49,9.70
1.91,9.80
1.94,12.10
1.97,12.60
2.01,13.10
2.05,13.60
2.08,14.10
2.12,14.40
2.14,14.60
2.49,14.60
2.51,14.30
2.54,14.40
2.56,14.40
2.60,14.40
2.61,14.40
2.65,14.20
2.99,8.00
3.02,7.60
3.05,7.30
3.07,7.00
3.10,6.80
3.12,6.50
3.46,6.40
3.48,5.80
3.52,5.50
3.55,5.20
3.57,5.00
3.60,4.80
3.62,4.80
3.98,4.70
4.01,3.40
4.03,3.30
4.05,3.30
4.09,3.10
4.11,3.00
4.14,2.90
4.50,-0.20
4.54,-0.20
4.56,-0.20
4.59,-0.20
4.62,-0.20
4.65,-0.20
5.02,-2.20
5.06,-2.40
5.09,-2.50
5.12,-2.60
5.15,-2.60
5.18,-2.60
5.20,-2.60
5.52,-2.60
5.55,-3.00
5.59,-3.00
5.62,-3.00
5.64,-3.00
5.67,-2.90
5.69,-2.80
6.05,-5.60
6.09,-5.50
6.12,-5.40
6.15,-5.40
6.17,-5.30
6.21,-5.30
6.55,-4.60
6.58,-4.70
6.60,-5.00
6.62,-5.30
6.65,-5.60
6.67,-5.80
6.69,-6.00
7.01,-6.00
7.02,-6.00
7.05,-6.00
7.07,-5.90
7.11,-5.70
7.13,-5.60
7.16,-5.50
7.40,-5.50
7.41,-6.40
7.42,-6.40
7.43,-6.40
7.44,-6.40
7.46,-6.40
7.47,-6.40
7.65,-6.50
7.66,-6.50
7.67,-6.40
7.69,-6.20
7.73,-6.10
7.86,-6.00
7.88,-4.30
