speed,steeringAngle
0.00,6.30
0.00,6.30
0.00,6.30
0.00,7.60
0.00,7.90
0.00,8.10
0.00,8.30
0.00,8.50
0.00,8.60
0.00,8.70
0.00,8.70
0.00,8.70
0.00,8.70
0.00,8.70
0.00,8.70
0.00,8.70
0.03,8.70
0.05,8.60
0.06,8.60
0.07,8.60
0.09,8.60
0.11,8.60
0.13,8.60
0.46,8.60
0.49,8.70
0.53,8.70
0.57,8.70
0.60,8.70
0.65,8.70
0.69,8.70
1.18,8.70
1.22,8.90
1.26,8.90
1.30,8.90
1.35,8.90
1.40,8.80
1.44,8.80
1.92,8.80
1.96,8.90
2.00,9.00
2.03,9.10
2.07,9.30
2.10,9.40
2.14,9.60
2.57,10.70
2.61,10.70
2.64,10.80
2.67,10.90
2.71,11.00
2.75,11.10
2.77,11.20
3.17,13.40
3.20,14.00
3.23,14.60
3.26,15.20
3.29,15.70
3.32,16.20
3.71,16.20
3.73,17.00
3.77,16.90
3.79,16.90
3.81,16.80
3.85,16.80
3.88,17.00
4.26,13.70
4.29,13.40
4.32,13.00
4.35,12.60
4.38,12.10
4.42,11.60
4.44,11.00
4.80,3.80
4.83,3.60
4.86,3.40
4.88,3.20
4.91,3.00
4.95,2.90
5.27,2.90
5.31,2.30
5.34,2.20
5.36,2.20
5.39,2.20
5.41,2.10
5.45,2.00
5.79,-0.70
5.82,-0.90
5.84,-1.10
5.88,-1.20
5.90,-1.20
5.94,-1.10
5.95,-1.10
6.30,-1.30
6.34,-1.10
6.37,-0.90
6.40,-0.80
6.42,-0.90
6.46,-1.00
6.77,-1.00
6.80,-1.70
6.82,-1.80
6.84,-2.00
6.87,-2.20
6.89,-2.40
7.22,-2.60
7.25,-3.80
7.27,-4.00
7.28,-4.20
7.31,-4.30
7.33,-4.50
7.56,-7.00
7.57,-7.20
7.60,-7.50
7.61,-7.70
7.61,-7.90
7.63,-8.00
7.77,-9.20
7.79,-9.20
7.80,-9.20
7.81,-9.20
7.81,-9.40
7.81,-9.50
7.83,-9.50
7.95,-7.50
7.95,-7.40
7.96,-7.20
7.97,-7.00
7.98,-6.80
7.98,-6.60
8.03,-6.60
8.03,-5.10
8.04,-5.00
8.04,-5.10
8.04,-5.10
8.04,-5.10
8.04,-5.00
8.05,-1.70
8.06,-1.00
8.06,-0.40
8.06,0.20
8.07,0.80
8.07,1.40
8.07,1.90
8.08,7.40
8.08,7.70
8.08,8.10
8.08,8.60
8.09,9.10
8.10,9.60
8.13,9.60
8.14,14.70
8.14,15.40
8.14,16.30
8.14,17.30
8.14,18.30
8.13,19.40
8.14,30.10
8.16,30.30
8.17,30.40
8.17,30.40
8.17,30.40
8.18,30.40
8.19,30.40
8.23,29.70
8.23,29.80
8.23,29.90
8.24,30.00
8.25,30.10
8.26,30.10
8.32,30.10
8.33,30.90
8.34,31.10
8.34,31.40
8.35,31.80
8.36,32.20
8.44,32.60
8.43,32.60
8.44,32.30
8.44,31.90
8.45,31.60
8.46,31.40
8.55,28.00
8.56,27.60
8.56,27.10
8.57,26.60
8.59,26.00
8.58,25.40
8.62,13.90
8.63,13.00
8.64,12.00
8.64,11.00
8.65,9.90
8.65,8.80
8.66,7.60
8.69,7.60
8.70,-5.00
8.70,-5.30
8.70,-5.50
8.70,-5.60
8.71,-5.60
8.71,-5.40
8.70,-5.40
8.69,-8.60
8.69,-9.20
8.68,-9.90
8.69,-10.70
8.68,-11.70
8.66,-12.80
8.63,-35.90
8.63,-37.90
8.63,-40.00
8.63,-42.00
8.63,-44.00
8.63,-45.90
8.63,-47.70
8.59,-59.30
8.58,-59.40
