speed,steeringAngle
0.00,1.70
0.00,1.70
0.00,1.70
0.00,1.70
0.00,1.70
0.00,1.70
0.00,1.70
0.00,1.80
0.00,1.80
0.00,1.70
0.00,1.70
0.00,1.70
0.00,1.70
0.00,1.70
0.00,1.70
0.00,1.70
0.00,1.70
0.00,1.40
0.00,1.40
0.00,1.30
0.00,1.20
0.01,1.20
0.01,1.10
0.28,-0.60
0.31,-0.70
0.34,-0.90
0.35,-1.00
0.38,-1.10
0.40,-1.30
0.74,-1.30
0.76,-3.80
0.79,-4.10
0.81,-4.40
0.84,-4.60
0.87,-4.90
0.89,-5.20
1.19,-5.50
1.22,-7.90
1.24,-8.30
1.26,-8.80
1.28,-9.30
1.28,-9.70
1.32,-10.10
1.55,-10.10
1.55,-13.50
1.57,-13.80
1.59,-14.20
1.60,-14.70
1.62,-15.20
1.64,-15.80
1.85,-18.40
1.87,-18.10
1.88,-18.00
1.89,-17.80
1.91,-17.70
1.92,-17.60
1.94,-17.40
2.10,-17.40
2.12,-14.00
2.14,-13.70
2.14,-13.40
2.15,-13.30
2.16,-13.10
2.18,-13.00
2.34,-11.60
2.35,-11.50
2.37,-11.50
2.37,-11.40
2.40,-11.30
2.40,-11.20
2.54,-11.20
2.55,-10.90
2.55,-10.90
2.57,-10.90
2.58,-10.80
2.60,-10.70
2.60,-10.70
2.60,-10.60
2.72,-10.60
2.73,-10.70
2.74,-10.60
2.75,-10.60
2.76,-10.50
2.77,-10.60
2.79,-10.60
2.93,-10.60
2.94,-10.90
2.95,-11.00
2.96,-11.20
2.97,-11.30
2.99,-11.50
2.99,-11.70
3.16,-12.50
3.18,-12.50
3.19,-12.50
3.21,-12.40
3.23,-12.40
3.39,-12.40
3.40,-11.60
3.42,-11.60
3.44,-11.50
3.45,-11.40
3.47,-11.20
3.63,-9.30
3.65,-9.00
3.65,-8.70
3.66,-8.30
3.68,-8.00
3.69,-7.60
3.70,-7.30
3.83,-7.30
3.84,-6.70
3.85,-6.80
3.86,-6.90
3.88,-6.90
3.90,-6.90
3.90,-6.80
4.04,-5.80
4.05,-5.70
4.06,-5.60
4.07,-5.40
4.09,-5.30
4.09,-5.10
4.24,-4.20
4.25,-3.90
4.26,-3.70
4.26,-3.50
4.28,-3.40
4.29,-3.30
4.29,-3.20
4.43,-3.20
4.43,-1.70
4.44,-1.70
4.44,-1.80
4.45,-1.90
4.46,-1.90
4.47,-1.70
4.61,0.00
4.62,0.00
4.62,0.10
4.64,0.10
4.65,0.10
4.66,0.10
4.77,0.60
4.78,0.70
4.80,0.80
4.80,0.90
4.81,1.00
4.87,1.10
4.88,4.60
4.88,4.90
4.90,5.30
4.90,5.60
4.91,5.80
4.93,5.90
4.94,6.10
4.94,6.10
4.95,6.00
4.95,6.00
4.95,6.10
4.95,6.30
4.99,6.50
4.99,9.70
4.99,10.30
4.99,10.80
4.99,11.60
5.01,12.20
5.01,12.80
5.01,14.60
5.02,14.20
5.02,13.90
5.02,13.60
5.02,13.30
5.03,13.00
5.04,12.80
5.04,1.50
5.04,0.20
5.03,-1.10
5.03,-2.20
5.03,-3.10
5.03,-3.80
5.05,-4.10
5.05,1.20
5.05,1.10
5.05,0.90
5.05,0.70
5.06,0.50
5.06,0.30
5.06,9.70
5.06,11.10
5.07,12.60
5.07,14.20
5.07,16.10
5.08,18.00
5.10,44.70
5.10,46.80
5.10,49.00
5.10,51.10
5.12,53.10
5.12,55.00
5.15,56.70
5.16,62.80
5.16,62.70
5.16,62.60
5.16,62.60
5.16,62.70
5.16,62.70
5.19,63.20
5.19,63.40
5.19,63.60
5.19,63.80
5.19,63.90
5.19,63.90
5.21,63.30
5.23,63.10
5.22,62.80
5.22,62.50
5.22,62.10
5.24,61.70
5.24,55.10
5.24,54.50
5.25,53.80
5.25,53.10
5.25,52.30
5.29,51.80
5.30,37.50
5.30,36.20
5.30,34.90
5.31,33.50
5.31,32.10
5.31,30.50
5.35,28.80
5.35,3.90
5.35,2.00
5.35,0.30
5.35,-1.40
5.35,-2.90
5.36,-4.10
5.41,-6.00
5.42,-6.20
5.42,-6.50
5.43,-6.80
5.45,-7.00
5.45,-7.20
5.50,-9.90
5.51,-10.60
5.51,-11.40
5.52,-12.10
5.52,-12.70
5.52,-13.30
5.61,-13.80
5.61,-20.80
5.62,-21.50
5.62,-22.20
5.62,-22.80
5.63,-23.40
5.63,-23.90
5.69,-33.80
5.69,-34.80
5.69,-35.80
5.70,-36.80
5.70,-37.80
5.72,-38.80
5.76,-53.30
5.76,-54.30
5.77,-55.30
5.77,-56.30
5.77,-57.20
5.78,-58.00
5.83,-58.80
5.83,-70.00
5.84,-71.00
5.84,-71.90
5.85,-72.90
5.86,-73.80
5.87,-74.80
5.93,-85.70
5.93,-86.00
5.93,-86.10
5.94,-86.20
5.94,-86.20
5.94,-86.10
5.97,-85.70
5.97,-85.70
5.97,-85.60
5.96,-85.70
5.98,-85.80
5.98,-86.00
5.98,-86.10
6.02,-86.10
6.02,-86.20
6.02,-86.00
6.03,-85.90
6.03,-85.70
6.04,-85.60
6.05,-85.40
6.07,-85.40
6.07,-84.60
6.07,-84.40
6.07,-84.10
6.07,-83.90
6.07,-83.80
6.08,-83.60
6.03,-80.30
6.04,-80.00
6.04,-79.80
6.04,-79.70
6.04,-79.70
6.03,-79.70
6.02,-79.70
6.01,-78.20
6.01,-77.70
6.01,-77.20
6.01,-76.60
6.01,-75.90
6.01,-75.20
5.97,-55.20
5.97,-52.20
5.97,-49.10
5.96,-45.90
5.95,-42.60
5.95,-39.30
5.92,-2.00
5.92,0.90
5.92,3.80
5.91,6.60
5.90,9.60
5.89,12.20
5.88,38.40
5.88,40.30
5.87,42.00
5.87,43.70
5.87,45.10
5.86,46.40
5.86,46.30
5.84,46.30
5.85,46.30
5.84,46.30
5.84,46.20
5.84,46.00
5.82,46.00
5.83,46.50
5.82,46.60
5.82,46.60
5.82,46.50
5.82,46.50
5.82,46.50
5.79,48.00
5.79,47.90
5.79,47.90
5.79,47.80
5.79,47.80
5.80,47.80
5.77,48.50
5.77,48.60
5.77,48.60
5.77,48.70
5.76,48.80
5.76,48.80
5.76,48.80
5.75,48.80
5.75,51.40
5.76,51.70
5.75,52.00
5.76,52.40
5.76,52.70
5.76,52.90
5.74,52.90
5.74,54.10
5.74,54.80
5.73,55.70
5.73,56.90
5.71,58.10
5.71,59.40
5.70,67.90
5.70,68.00
5.70,68.00
5.70,67.90
5.70,67.80
5.70,67.60
5.70,67.40
5.70,68.50
5.70,68.40
5.69,68.40
5.69,68.50
5.69,68.70
5.69,68.90
5.69,69.90
5.69,70.00
5.68,70.30
5.68,70.50
5.72,70.90
5.72,71.20
5.72,75.20
5.72,75.10
5.72,74.90
5.72,74.70
5.72,74.50
5.72,74.40
5.71,74.30
5.69,74.30
5.70,73.00
5.70,72.60
5.69,72.30
5.70,72.00
5.69,71.70
5.69,71.50
5.68,67.60
5.67,67.00
5.67,66.40
5.67,65.70
5.67,65.00
5.67,64.30
5.64,51.60
5.62,50.00
5.63,48.50
5.63,46.80
5.63,45.10
5.64,43.50
5.64,41.80
5.60,41.80
5.60,26.20
5.61,24.10
5.61,22.00
5.62,19.70
5.62,17.40
5.62,15.00
5.59,-8.30
5.60,-8.80
5.60,-9.40
5.60,-9.90
5.59,-10.30
5.59,-10.60
5.59,-15.00
5.59,-15.50
5.59,-16.10
5.58,-16.80
5.58,-17.60
5.59,-34.60
5.59,-36.20
5.59,-37.80
5.58,-39.50
5.57,-41.10
5.58,-42.70
5.59,-58.60
5.59,-59.80
5.58,-60.90
5.58,-61.90
5.57,-62.90
5.57,-63.80
5.58,-64.70
5.57,-77.80
5.57,-79.10
5.58,-80.50
5.57,-81.80
5.57,-83.00
5.57,-84.30
5.56,-100.20
5.56,-101.20
5.56,-102.00
5.55,-102.70
5.55,-103.30
5.55,-103.70
5.54,-103.70
5.54,-103.70
5.54,-103.70
5.54,-103.80
5.53,-104.00
5.53,-104.10
5.53,-104.10
5.52,-104.50
5.52,-104.30
5.52,-104.20
5.50,-104.20
5.50,-104.20
5.50,-104.30
5.49,-104.50
5.49,-104.50
5.49,-104.40
5.49,-104.30
5.49,-104.20
5.49,-104.20
5.47,-103.90
5.47,-103.90
5.45,-104.00
5.46,-104.00
5.46,-104.10
5.46,-104.20
5.42,-104.30
5.42,-101.20
5.41,-100.80
5.41,-100.50
5.41,-100.10
5.41,-99.80
5.42,-99.60
5.39,-94.60
5.38,-94.00
5.38,-93.40
5.39,-92.70
5.39,-91.90
5.39,-91.10
5.30,-64.30
5.30,-60.80
5.30,-57.30
5.31,-53.80
5.31,-50.20
5.30,-46.70
5.30,-2.90
5.31,0.20
5.31,2.90
5.30,5.60
5.30,8.00
5.30,30.00
5.30,31.60
5.30,33.20
5.29,34.70
5.29,36.20
5.28,37.50
5.29,53.40
5.28,54.70
5.28,56.00
5.30,57.20
5.28,58.30
5.30,66.50
5.30,66.90
5.30,67.20
5.30,67.50
5.30,67.70
5.30,68.00
5.30,68.30
5.29,73.60
5.29,73.90
5.29,74.30
5.28,74.70
5.28,75.00
5.28,75.40
5.28,79.30
5.28,79.30
5.28,79.30
5.28,79.30
5.28,79.10
5.28,78.90
5.27,76.80
5.27,76.20
5.27,75.50
5.27,74.70
5.27,73.80
5.27,72.90
5.24,72.00
5.24,62.70
5.24,62.30
5.24,62.00
5.24,61.60
5.24,61.10
5.25,60.60
5.23,57.30
5.23,57.10
5.23,56.90
5.23,56.70
5.23,56.40
5.23,56.00
5.21,39.60
5.20,37.50
5.21,35.20
5.20,33.00
5.20,30.90
5.20,28.70
5.16,26.50
5.16,1.00
5.16,-0.40
5.16,-1.60
5.16,-2.40
5.16,-2.90
5.16,-3.10
5.13,-3.10
5.13,-0.90
5.13,-1.30
5.14,-1.60
5.14,-1.80
5.14,-1.80
5.14,-1.80
5.11,-1.80
5.10,-2.00
5.11,-2.00
5.12,-1.80
5.12,-1.50
5.12,-1.10
5.10,-0.80
5.10,-1.30
5.10,-1.00
5.10,-0.60
5.11,-0.30
5.10,0.00
5.10,0.40
5.09,-1.40
5.09,-1.10
5.10,-0.80
5.10,-0.40
5.09,-0.10
5.10,0.10
5.09,-1.00
5.09,-0.80
5.08,-0.80
5.09,-0.90
5.09,-1.20
5.09,-1.40
5.09,-1.60
5.08,-1.60
5.07,-1.40
5.07,-1.40
5.07,-1.20
5.06,-1.10
5.06,-0.90
5.05,-0.80
4.98,-0.70
4.97,-0.80
4.97,-1.00
4.97,-1.20
4.95,-1.20
4.95,-1.20
4.84,-0.60
4.83,-0.30
4.81,-0.10
4.81,-0.20
4.79,-0.30
4.79,-0.50
4.78,-0.80
4.64,-0.80
4.62,-0.90
4.61,-0.80
4.59,-0.70
4.58,-0.40
4.55,-0.10
4.54,0.10
4.32,0.60
4.31,0.50
4.28,0.20
4.26,0.00
4.24,-0.20
4.22,-0.30
3.97,-0.50
3.93,-0.50
3.91,-0.40
3.90,-0.20
3.87,-0.10
3.53,0.00
3.50,-0.30
3.46,-0.30
3.44,-0.30
3.41,-0.20
3.38,-0.10
2.99,0.00
2.98,0.00
2.94,0.00
2.91,0.00
2.88,0.10
2.86,0.10
2.53,0.10
2.51,0.00
2.49,0.00
2.47,0.10
2.46,0.10
2.43,0.20
2.40,0.40
2.16,0.40
2.13,0.50
2.11,0.70
2.09,0.80
2.07,1.00
2.04,1.10
1.75,1.10
1.73,0.80
1.70,0.80
1.68,0.80
1.65,0.80
1.61,0.80
1.24,0.90
1.21,0.80
1.18,0.80
1.15,0.80
1.13,0.80
1.11,0.80
0.78,0.80
0.75,0.90
0.72,0.90
0.70,0.80
0.68,0.90
0.65,0.90
0.62,0.90
0.27,0.90
0.25,1.00
0.24,1.00
0.23,1.00
0.23,1.00
0.22,1.00
0.22,1.00
0.22,3.20
0.20,3.50
0.17,3.70
0.13,3.80
0.09,3.90
0.06,3.90
0.00,3.90
0.00,3.70
0.00,3.70
0.00,3.70
0.00,3.60
