  longitude ,  latitude ,high;roll,yaw,pitch;n_vel,e_vel,u_vel;angleSpeedx_y_z;lineAccx_y_z;speed,steeringAngle
118.81100166,31.89294836,9.85;0.72,264.18,-0.52;-0.00,0.00,0.00;0.00,-0.01,0.08;-0.05,-0.02,9.80;0.00,-0.60
118.81100166,31.89294836,9.85;0.72,264.18,-0.52;-0.00,0.00,0.00;0.00,-0.01,0.08;-0.05,-0.02,9.80;0.00,-0.60
118.81100166,31.89294836,9.85;0.72,264.18,-0.52;-0.00,0.00,0.00;0.00,-0.01,0.08;-0.05,-0.02,9.80;0.00,-0.60
118.81100166,31.89294836,9.85;0.72,264.18,-0.52;-0.00,0.00,0.00;0.00,-0.01,0.08;-0.05,-0.02,9.80;0.00,-0.60
118.81100166,31.89294836,9.85;0.72,264.18,-0.52;-0.00,0.00,0.00;0.00,-0.01,0.08;-0.05,-0.02,9.80;0.00,-0.60
118.81100166,31.89294836,9.85;0.72,264.18,-0.52;-0.00,0.00,0.00;0.00,-0.01,0.08;-0.05,-0.02,9.80;0.00,-0.60
118.81100166,31.89294836,9.85;0.72,264.18,-0.52;-0.00,0.00,0.00;0.00,-0.01,0.08;-0.05,-0.02,9.80;0.00,-0.60
118.81100166,31.89294836,9.85;0.72,264.18,-0.52;-0.00,0.00,0.00;0.00,-0.01,0.08;-0.05,-0.02,9.80;0.00,-0.60
118.81100166,31.89294836,9.85;0.72,264.18,-0.52;-0.00,0.00,0.00;0.00,-0.01,0.08;-0.05,-0.02,9.80;0.00,-0.60
118.81100166,31.89294836,9.85;0.72,264.18,-0.52;-0.00,0.00,0.00;0.00,-0.01,0.08;-0.05,-0.02,9.80;0.00,-0.60
118.81100166,31.89294836,9.85;0.72,264.18,-0.52;-0.00,0.00,0.00;0.00,-0.01,0.08;-0.05,-0.02,9.80;0.00,-0.60
118.81100166,31.89294836,9.85;0.72,264.18,-0.52;-0.00,0.00,0.00;0.00,-0.01,0.08;-0.05,-0.02,9.80;0.00,-0.40
118.81100166,31.89294836,9.85;0.72,264.18,-0.52;-0.00,0.00,0.00;0.00,-0.01,0.08;-0.05,-0.02,9.80;0.00,-0.40
118.81100166,31.89294836,9.85;0.72,264.18,-0.52;-0.00,0.00,0.00;-0.00,-0.01,0.04;-0.06,-0.02,9.81;0.00,-0.40
118.81100172,31.89294835,9.84;0.73,264.18,-0.52;-0.00,-0.00,0.00;-0.00,-0.01,0.04;-0.06,-0.02,9.81;0.00,-0.40
118.81100172,31.89294835,9.84;0.73,264.18,-0.52;-0.00,-0.00,0.00;-0.00,-0.01,0.04;-0.06,-0.02,9.81;0.00,-0.40
118.81100172,31.89294835,9.84;0.73,264.18,-0.52;-0.00,-0.00,0.00;-0.00,-0.01,0.04;-0.06,-0.02,9.81;0.00,-0.40
118.81100172,31.89294835,9.84;0.73,264.18,-0.52;-0.00,-0.00,0.00;-0.00,-0.01,0.04;-0.06,-0.02,9.81;0.00,-0.50
