  longitude ,  latitude ,high;roll,yaw,pitch;n_vel,e_vel,u_vel;angleSpeedx_y_z;lineAccx_y_z;speed,steeringAngle
118.80660083,31.89039211,8.36;-0.48,86.44,-0.56;0.07,1.50,0.02;-0.21,0.42,0.11;0.23,1.15,10.01;1.35,4.20
118.80660083,31.89039211,8.36;-0.48,86.44,-0.56;0.07,1.50,0.02;-0.21,0.42,0.11;0.23,1.15,10.01;1.38,4.50
118.80660083,31.89039211,8.36;-0.48,86.44,-0.56;0.07,1.50,0.02;-0.21,0.42,0.11;0.23,1.15,10.01;1.41,4.90
118.80660083,31.89039211,8.36;-0.48,86.44,-0.56;0.07,1.50,0.02;-0.21,0.42,0.11;0.23,1.15,10.01;1.43,5.30
118.80660083,31.89039211,8.36;-0.48,86.44,-0.56;0.07,1.50,0.02;-0.21,0.42,0.11;0.23,1.15,10.01;1.45,5.40
118.80660083,31.89039211,8.36;-0.48,86.44,-0.56;0.07,1.50,0.02;-0.21,0.42,0.11;0.23,1.15,10.01;1.76,5.40
118.80660083,31.89039211,8.36;-0.48,86.44,-0.56;0.07,1.50,0.02;-0.21,0.42,0.11;0.23,1.15,10.01;1.79,10.10
118.80660083,31.89039211,8.36;-0.48,86.44,-0.56;0.07,1.50,0.02;-0.21,0.42,0.11;0.23,1.15,10.01;1.81,10.20
118.80660083,31.89039211,8.36;-0.48,86.44,-0.56;0.07,1.50,0.02;-0.21,0.42,0.11;0.23,1.15,10.01;1.83,10.10
118.80660083,31.89039211,8.36;-0.48,86.44,-0.56;0.07,1.50,0.02;-0.21,0.42,0.11;0.23,1.15,10.01;1.83,10.10
118.80660083,31.89039211,8.36;-0.48,86.44,-0.56;0.07,1.50,0.02;-0.21,0.42,0.11;0.23,1.15,10.01;1.86,10.10
118.80660083,31.89039211,8.36;-0.48,86.44,-0.56;0.07,1.50,0.02;-0.63,-0.03,0.24;0.06,0.96,9.71;1.88,10.00
118.80660083,31.89039211,8.36;-0.48,86.44,-0.56;0.07,1.50,0.02;-0.79,-0.72,0.40;-0.14,0.90,10.40;1.90,10.00
118.80660083,31.89039211,8.36;-0.48,86.44,-0.56;0.07,1.50,0.02;-0.79,-0.72,0.40;-0.14,0.90,10.40;2.17,13.10
118.80661603,31.89039291,8.37;-0.41,86.10,-0.79;0.15,2.29,-0.00;-0.79,-0.72,0.40;-0.14,0.90,10.40;2.19,14.10
118.80661603,31.89039291,8.37;-0.41,86.10,-0.79;0.15,2.29,-0.00;-0.79,-0.72,0.40;-0.14,0.90,10.40;2.20,15.10
118.80661603,31.89039291,8.37;-0.41,86.10,-0.79;0.15,2.29,-0.00;-0.79,-0.72,0.40;-0.14,0.90,10.40;2.22,16.40
118.80661603,31.89039291,8.37;-0.41,86.10,-0.79;0.15,2.29,-0.00;-0.79,-0.72,0.40;-0.14,0.90,10.40;2.24,17.80
118.80661603,31.89039291,8.37;-0.41,86.10,-0.79;0.15,2.29,-0.00;-0.79,-0.72,0.40;-0.14,0.90,10.40;2.26,18.70
118.80661603,31.89039291,8.37;-0.41,86.10,-0.79;0.15,2.29,-0.00;-0.79,-0.72,0.40;-0.14,0.90,10.40;2.26,18.70
118.80661603,31.89039291,8.37;-0.41,86.10,-0.79;0.15,2.29,-0.00;-0.79,-0.72,0.40;-0.14,0.90,10.40;2.55,42.70
118.80661603,31.89039291,8.37;-0.41,86.10,-0.79;0.15,2.29,-0.00;-0.79,-0.72,0.40;-0.14,0.90,10.40;2.58,44.60
118.80661603,31.89039291,8.37;-0.41,86.10,-0.79;0.15,2.29,-0.00;-0.79,-0.72,0.40;-0.14,0.90,10.40;2.60,46.60
118.80661603,31.89039291,8.37;-0.41,86.10,-0.79;0.15,2.29,-0.00;-0.79,-0.72,0.40;-0.14,0.90,10.40;2.60,48.50
118.80661603,31.89039291,8.37;-0.41,86.10,-0.79;0.15,2.29,-0.00;-0.79,-0.72,0.40;-0.14,0.90,10.40;2.61,50.40
118.80661603,31.89039291,8.37;-0.41,86.10,-0.79;0.15,2.29,-0.00;-0.79,-0.72,0.40;-0.14,0.90,10.40;2.63,52.20
118.80661603,31.89039291,8.37;-0.41,86.10,-0.79;0.15,2.29,-0.00;0.23,-0.46,4.48;-0.30,0.95,9.80;2.63,52.20
118.80661603,31.89039291,8.37;-0.41,86.10,-0.79;0.15,2.29,-0.00;0.23,-0.46,4.48;-0.30,0.95,9.80;2.87,62.70
118.80661603,31.89039291,8.37;-0.41,86.10,-0.79;0.15,2.29,-0.00;0.23,-0.46,4.48;-0.30,0.95,9.80;2.89,63.00
118.80663536,31.89039422,8.37;-0.34,83.82,-0.75;0.30,2.92,0.01;0.23,-0.46,4.48;-0.30,0.95,9.80;2.91,63.20
118.80663536,31.89039422,8.37;-0.34,83.82,-0.75;0.30,2.92,0.01;0.23,-0.46,4.48;-0.30,0.95,9.80;2.93,63.20
118.80663536,31.89039422,8.37;-0.34,83.82,-0.75;0.30,2.92,0.01;0.23,-0.46,4.48;-0.30,0.95,9.80;2.95,63.10
118.80663536,31.89039422,8.37;-0.34,83.82,-0.75;0.30,2.92,0.01;0.23,-0.46,4.48;-0.30,0.95,9.80;2.98,63.00
118.80663536,31.89039422,8.37;-0.34,83.82,-0.75;0.30,2.92,0.01;0.23,-0.46,4.48;-0.30,0.95,9.80;3.19,63.00
118.80663536,31.89039422,8.37;-0.34,83.82,-0.75;0.30,2.92,0.01;0.23,-0.46,4.48;-0.30,0.95,9.80;3.21,48.30
118.80663536,31.89039422,8.37;-0.34,83.82,-0.75;0.30,2.92,0.01;0.23,-0.46,4.48;-0.30,0.95,9.80;3.23,46.60
