  longitude ,  latitude ,high;roll,yaw,pitch;n_vel,e_vel,u_vel;angleSpeedx_y_z;lineAccx_y_z;speed,steeringAngle
118.81099042,31.89293975,8.57;1.07,268.22,-0.38;-0.09,-4.27,0.05;1.48,0.58,0.59;-0.30,0.76,9.98;4.40,6.00
118.81099042,31.89293975,8.57;1.07,268.22,-0.38;-0.09,-4.27,0.05;1.48,0.58,0.59;-0.30,0.76,9.98;4.41,6.00
118.81099042,31.89293975,8.57;1.07,268.22,-0.38;-0.09,-4.27,0.05;1.48,0.58,0.59;-0.30,0.76,9.98;4.56,6.00
118.81099042,31.89293975,8.57;1.07,268.22,-0.38;-0.09,-4.27,0.05;1.48,0.58,0.59;-0.30,0.76,9.98;4.57,6.50
118.81099042,31.89293975,8.57;1.07,268.22,-0.38;-0.09,-4.27,0.05;1.48,0.58,0.59;-0.30,0.76,9.98;4.58,6.50
118.81099042,31.89293975,8.57;1.07,268.22,-0.38;-0.09,-4.27,0.05;1.48,0.58,0.59;-0.30,0.76,9.98;4.58,6.50
118.81099042,31.89293975,8.57;1.07,268.22,-0.38;-0.09,-4.27,0.05;1.48,0.58,0.59;-0.30,0.76,9.98;4.60,6.50
118.81099042,31.89293975,8.57;1.07,268.22,-0.38;-0.09,-4.27,0.05;1.48,0.58,0.59;-0.30,0.76,9.98;4.60,6.50
118.81099042,31.89293975,8.57;1.07,268.22,-0.38;-0.09,-4.27,0.05;1.48,0.58,0.59;-0.30,0.76,9.98;4.61,6.50
118.81099042,31.89293975,8.57;1.07,268.22,-0.38;-0.09,-4.27,0.05;1.48,0.58,0.59;-0.30,0.76,9.98;4.61,6.60
118.81099042,31.89293975,8.57;1.07,268.22,-0.38;-0.09,-4.27,0.05;1.48,0.58,0.59;-0.30,0.76,9.98;4.72,6.70
118.81099042,31.89293975,8.57;1.07,268.22,-0.38;-0.09,-4.27,0.05;1.48,0.58,0.59;-0.30,0.76,9.98;4.72,6.70
118.81095766,31.89293899,8.63;0.96,267.84,-0.26;-0.14,-4.57,0.08;1.48,0.58,0.59;-0.30,0.76,9.98;4.74,6.80
118.81095766,31.89293899,8.63;0.96,267.84,-0.26;-0.14,-4.57,0.08;1.48,0.58,0.59;-0.30,0.76,9.98;4.74,6.80
118.81095766,31.89293899,8.63;0.96,267.84,-0.26;-0.14,-4.57,0.08;0.60,0.11,0.72;-0.00,0.25,10.23;4.75,6.80
118.81095766,31.89293899,8.63;0.96,267.84,-0.26;-0.14,-4.57,0.08;-1.12,-0.92,0.81;0.00,0.37,10.19;4.76,6.90
118.81095766,31.89293899,8.63;0.96,267.84,-0.26;-0.14,-4.57,0.08;-1.12,-0.92,0.81;0.00,0.37,10.19;4.77,6.90
118.81095766,31.89293899,8.63;0.96,267.84,-0.26;-0.14,-4.57,0.08;-1.12,-0.92,0.81;0.00,0.37,10.19;4.77,7.30
118.81095766,31.89293899,8.63;0.96,267.84,-0.26;-0.14,-4.57,0.08;-1.12,-0.92,0.81;0.00,0.37,10.19;4.87,7.30
118.81095766,31.89293899,8.63;0.96,267.84,-0.26;-0.14,-4.57,0.08;-1.12,-0.92,0.81;0.00,0.37,10.19;4.88,7.30
118.81095766,31.89293899,8.63;0.96,267.84,-0.26;-0.14,-4.57,0.08;-1.12,-0.92,0.81;0.00,0.37,10.19;4.90,7.40
118.81095766,31.89293899,8.63;0.96,267.84,-0.26;-0.14,-4.57,0.08;-1.12,-0.92,0.81;0.00,0.37,10.19;4.91,7.40
118.81095766,31.89293899,8.63;0.96,267.84,-0.26;-0.14,-4.57,0.08;-1.12,-0.92,0.81;0.00,0.37,10.19;4.92,7.40
118.81095766,31.89293899,8.63;0.96,267.84,-0.26;-0.14,-4.57,0.08;-1.12,-0.92,0.81;0.00,0.37,10.19;5.03,7.30
118.81095766,31.89293899,8.63;0.96,267.84,-0.26;-0.14,-4.57,0.08;-1.12,-0.92,0.81;0.00,0.37,10.19;5.03,7.30
118.81095766,31.89293899,8.63;0.96,267.84,-0.26;-0.14,-4.57,0.08;-1.12,-0.92,0.81;0.00,0.37,10.19;5.04,7.00
118.81092001,31.89293789,8.67;0.99,267.32,-0.42;-0.19,-4.89,0.04;-1.12,-0.92,0.81;0.00,0.37,10.19;5.05,7.00
