  longitude ,  latitude ,high;roll,yaw,pitch;n_vel,e_vel,u_vel;angleSpeedx_y_z;lineAccx_y_z;speed,steeringAngle
118.80753755,31.89044388,8.58;0.41,269.39,-0.81;-0.07,-11.30,0.01;0.85,0.53,0.30;0.15,0.55,10.21;11.68,7.70
118.80753755,31.89044388,8.58;0.41,269.39,-0.81;-0.07,-11.30,0.01;0.85,0.53,0.30;0.15,0.55,10.21;11.68,8.60
118.80753755,31.89044388,8.58;0.41,269.39,-0.81;-0.07,-11.30,0.01;0.85,0.53,0.30;0.15,0.55,10.21;11.70,10.60
118.80753755,31.89044388,8.58;0.41,269.39,-0.81;-0.07,-11.30,0.01;0.85,0.53,0.30;0.15,0.55,10.21;11.72,13.00
118.80753755,31.89044388,8.58;0.41,269.39,-0.81;-0.07,-11.30,0.01;0.85,0.53,0.30;0.15,0.55,10.21;11.74,15.50
118.80753755,31.89044388,8.58;0.41,269.39,-0.81;-0.07,-11.30,0.01;0.85,0.53,0.30;0.15,0.55,10.21;11.87,63.60
118.80753755,31.89044388,8.58;0.41,269.39,-0.81;-0.07,-11.30,0.01;0.85,0.53,0.30;0.15,0.55,10.21;11.87,67.20
118.80753755,31.89044388,8.58;0.41,269.39,-0.81;-0.07,-11.30,0.01;0.85,0.53,0.30;0.15,0.55,10.21;11.88,70.70
118.80753755,31.89044388,8.58;0.41,269.39,-0.81;-0.07,-11.30,0.01;0.85,0.53,0.30;0.15,0.55,10.21;11.87,73.70
118.80753755,31.89044388,8.58;0.41,269.39,-0.81;-0.07,-11.30,0.01;0.85,0.53,0.30;0.15,0.55,10.21;11.88,76.20
118.80753755,31.89044388,8.58;0.41,269.39,-0.81;-0.07,-11.30,0.01;0.18,0.43,19.20;-4.59,-0.35,9.61;11.88,77.10
118.80753755,31.89044388,8.58;0.41,269.39,-0.81;-0.07,-11.30,0.01;0.18,0.43,19.20;-4.59,-0.35,9.61;11.87,78.60
118.80753755,31.89044388,8.58;0.41,269.39,-0.81;-0.07,-11.30,0.01;0.18,0.43,19.20;-4.59,-0.35,9.61;11.87,35.10
118.80753755,31.89044388,8.58;0.41,269.39,-0.81;-0.07,-11.30,0.01;0.18,0.43,19.20;-4.59,-0.35,9.61;11.87,32.10
118.80744747,31.89043854,8.58;1.06,259.94,-1.27;-1.99,-11.18,0.01;0.18,0.43,19.20;-4.59,-0.35,9.61;11.86,25.70
118.80744747,31.89043854,8.58;1.06,259.94,-1.27;-1.99,-11.18,0.01;0.18,0.43,19.20;-4.59,-0.35,9.61;11.85,19.30
118.80744747,31.89043854,8.58;1.06,259.94,-1.27;-1.99,-11.18,0.01;0.18,0.43,19.20;-4.59,-0.35,9.61;11.83,12.70
118.80744747,31.89043854,8.58;1.06,259.94,-1.27;-1.99,-11.18,0.01;0.18,0.43,19.20;-4.59,-0.35,9.61;11.82,6.50
118.80744747,31.89043854,8.58;1.06,259.94,-1.27;-1.99,-11.18,0.01;0.18,0.43,19.20;-4.59,-0.35,9.61;11.82,0.40
118.80744747,31.89043854,8.58;1.06,259.94,-1.27;-1.99,-11.18,0.01;0.18,0.43,19.20;-4.59,-0.35,9.61;11.82,-39.40
118.80744747,31.89043854,8.58;1.06,259.94,-1.27;-1.99,-11.18,0.01;0.18,0.43,19.20;-4.59,-0.35,9.61;11.79,-39.70
118.80744747,31.89043854,8.58;1.06,259.94,-1.27;-1.99,-11.18,0.01;0.18,0.43,19.20;-4.59,-0.35,9.61;11.78,-39.70
118.80744747,31.89043854,8.58;1.06,259.94,-1.27;-1.99,-11.18,0.01;0.18,0.43,19.20;-4.59,-0.35,9.61;11.77,-39.00
118.80744747,31.89043854,8.58;1.06,259.94,-1.27;-1.99,-11.18,0.01;0.18,0.43,19.20;-4.59,-0.35,9.61;11.77,-38.70
118.80744747,31.89043854,8.58;1.06,259.94,-1.27;-1.99,-11.18,0.01;-1.20,-4.03,-10.31;2.55,-0.78,9.19;11.77,-38.00
118.80744747,31.89043854,8.58;1.06,259.94,-1.27;-1.99,-11.18,0.01;-0.17,1.34,-7.81;2.12,-0.48,9.53;11.78,-37.20
118.80744747,31.89043854,8.58;1.06,259.94,-1.27;-1.99,-11.18,0.01;-0.17,1.34,-7.81;2.12,-0.48,9.53;11.77,-36.30
118.80744747,31.89043854,8.58;1.06,259.94,-1.27;-1.99,-11.18,0.01;-0.17,1.34,-7.81;2.12,-0.48,9.53;11.65,-26.90
118.80744747,31.89043854,8.58;1.06,259.94,-1.27;-1.99,-11.18,0.01;-0.17,1.34,-7.81;2.12,-0.48,9.53;11.65,-26.80
118.80736530,31.89042839,8.56;-0.65,265.20,-1.60;-0.99,-11.05,-0.03;-0.17,1.34,-7.81;2.12,-0.48,9.53;11.64,-27.00
118.80736530,31.89042839,8.56;-0.65,265.20,-1.60;-0.99,-11.05,-0.03;-0.17,1.34,-7.81;2.12,-0.48,9.53;11.64,-27.30
118.80736530,31.89042839,8.56;-0.65,265.20,-1.60;-0.99,-11.05,-0.03;-0.17,1.34,-7.81;2.12,-0.48,9.53;11.63,-27.70
118.80736530,31.89042839,8.56;-0.65,265.20,-1.60;-0.99,-11.05,-0.03;-0.17,1.34,-7.81;2.12,-0.48,9.53;11.62,-27.90
118.80736530,31.89042839,8.56;-0.65,265.20,-1.60;-0.99,-11.05,-0.03;-0.17,1.34,-7.81;2.12,-0.48,9.53;11.61,-28.20
118.80736530,31.89042839,8.56;-0.65,265.20,-1.60;-0.99,-11.05,-0.03;-0.17,1.34,-7.81;2.12,-0.48,9.53;11.61,-18.80
118.80736530,31.89042839,8.56;-0.65,265.20,-1.60;-0.99,-11.05,-0.03;-0.17,1.34,-7.81;2.12,-0.48,9.53;11.43,-17.90
118.80736530,31.89042839,8.56;-0.65,265.20,-1.60;-0.99,-11.05,-0.03;-0.17,1.34,-7.81;2.12,-0.48,9.53;11.43,-16.10
