  longitude ,  latitude ,high;roll,yaw,pitch;n_vel,e_vel,u_vel;angleSpeedx_y_z;lineAccx_y_z;speed,steeringAngle
118.80817277,31.89047720,8.46;0.36,265.41,-0.75;-0.32,-4.16,0.01;-0.59,0.58,0.89;0.06,1.05,10.24;4.42,8.10
118.80817277,31.89047720,8.46;0.36,265.41,-0.75;-0.32,-4.16,0.01;-0.59,0.58,0.89;0.06,1.05,10.24;4.62,7.90
118.80817277,31.89047720,8.46;0.36,265.41,-0.75;-0.32,-4.16,0.01;-0.59,0.58,0.89;0.06,1.05,10.24;4.64,7.90
118.80817277,31.89047720,8.46;0.36,265.41,-0.75;-0.32,-4.16,0.01;-0.59,0.58,0.89;0.06,1.05,10.24;4.66,7.90
118.80817277,31.89047720,8.46;0.36,265.41,-0.75;-0.32,-4.16,0.01;-0.59,0.58,0.89;0.06,1.05,10.24;4.68,7.90
118.80817277,31.89047720,8.46;0.36,265.41,-0.75;-0.32,-4.16,0.01;-0.59,0.58,0.89;0.06,1.05,10.24;4.69,7.90
118.80817277,31.89047720,8.46;0.36,265.41,-0.75;-0.32,-4.16,0.01;-0.59,0.58,0.89;0.06,1.05,10.24;4.71,7.80
118.80817277,31.89047720,8.46;0.36,265.41,-0.75;-0.32,-4.16,0.01;-0.59,0.58,0.89;0.06,1.05,10.24;4.71,7.80
118.80813728,31.89047471,8.47;0.36,264.79,-0.78;-0.44,-4.80,0.00;-0.59,0.58,0.89;0.06,1.05,10.24;4.71,7.80
118.80813728,31.89047471,8.47;0.36,264.79,-0.78;-0.44,-4.80,0.00;-0.59,0.58,0.89;0.06,1.05,10.24;4.94,7.70
118.80813728,31.89047471,8.47;0.36,264.79,-0.78;-0.44,-4.80,0.00;-0.59,0.58,0.89;0.06,1.05,10.24;4.95,7.70
118.80813728,31.89047471,8.47;0.36,264.79,-0.78;-0.44,-4.80,0.00;-0.59,0.58,0.89;0.06,1.05,10.24;4.97,7.60
118.80813728,31.89047471,8.47;0.36,264.79,-0.78;-0.44,-4.80,0.00;-0.59,0.58,0.89;0.06,1.05,10.24;4.99,7.60
118.80813728,31.89047471,8.47;0.36,264.79,-0.78;-0.44,-4.80,0.00;-0.59,0.58,0.89;0.06,1.05,10.24;5.01,7.60
118.80813728,31.89047471,8.47;0.36,264.79,-0.78;-0.44,-4.80,0.00;-0.39,-0.04,0.92;-0.37,0.71,9.68;5.22,7.50
118.80813728,31.89047471,8.47;0.36,264.79,-0.78;-0.44,-4.80,0.00;-0.39,-0.04,0.92;-0.37,0.71,9.68;5.22,4.80
118.80813728,31.89047471,8.47;0.36,264.79,-0.78;-0.44,-4.80,0.00;-0.39,-0.04,0.92;-0.37,0.71,9.68;5.24,4.60
118.80813728,31.89047471,8.47;0.36,264.79,-0.78;-0.44,-4.80,0.00;-0.39,-0.04,0.92;-0.37,0.71,9.68;5.24,4.60
118.80813728,31.89047471,8.47;0.36,264.79,-0.78;-0.44,-4.80,0.00;-0.39,-0.04,0.92;-0.37,0.71,9.68;5.26,4.60
118.80813728,31.89047471,8.47;0.36,264.79,-0.78;-0.44,-4.80,0.00;-0.39,-0.04,0.92;-0.37,0.71,9.68;5.28,4.60
118.80813728,31.89047471,8.47;0.36,264.79,-0.78;-0.44,-4.80,0.00;-0.39,-0.04,0.92;-0.37,0.71,9.68;5.30,4.70
118.80813728,31.89047471,8.47;0.36,264.79,-0.78;-0.44,-4.80,0.00;-0.39,-0.04,0.92;-0.37,0.71,9.68;5.32,4.70
118.80813728,31.89047471,8.47;0.36,264.79,-0.78;-0.44,-4.80,0.00;-0.39,-0.04,0.92;-0.37,0.71,9.68;5.32,4.70
118.80809707,31.89047145,8.47;0.35,264.35,-0.88;-0.52,-5.35,0.01;-0.39,-0.04,0.92;-0.37,0.71,9.68;5.52,-0.60
118.80809707,31.89047145,8.47;0.35,264.35,-0.88;-0.52,-5.35,0.01;-0.39,-0.04,0.92;-0.37,0.71,9.68;5.53,-1.00
118.80809707,31.89047145,8.47;0.35,264.35,-0.88;-0.52,-5.35,0.01;-0.39,-0.04,0.92;-0.37,0.71,9.68;5.54,-1.40
118.80809707,31.89047145,8.47;0.35,264.35,-0.88;-0.52,-5.35,0.01;-0.39,-0.04,0.92;-0.37,0.71,9.68;5.56,-1.70
118.80809707,31.89047145,8.47;0.35,264.35,-0.88;-0.52,-5.35,0.01;-0.39,-0.04,0.92;-0.37,0.71,9.68;5.59,-1.90
118.80809707,31.89047145,8.47;0.35,264.35,-0.88;-0.52,-5.35,0.01;1.41,0.15,0.59;-0.03,1.10,9.64;5.60,-2.00
118.80809707,31.89047145,8.47;0.35,264.35,-0.88;-0.52,-5.35,0.01;0.53,-0.64,-0.25;-0.06,0.51,10.02;5.81,-2.20
118.80809707,31.89047145,8.47;0.35,264.35,-0.88;-0.52,-5.35,0.01;0.53,-0.64,-0.25;-0.06,0.51,10.02;5.81,-2.60
118.80809707,31.89047145,8.47;0.35,264.35,-0.88;-0.52,-5.35,0.01;0.53,-0.64,-0.25;-0.06,0.51,10.02;5.82,-2.60
118.80809707,31.89047145,8.47;0.35,264.35,-0.88;-0.52,-5.35,0.01;0.53,-0.64,-0.25;-0.06,0.51,10.02;5.83,-2.60
118.80809707,31.89047145,8.47;0.35,264.35,-0.88;-0.52,-5.35,0.01;0.53,-0.64,-0.25;-0.06,0.51,10.02;5.85,-2.60
118.80809707,31.89047145,8.47;0.35,264.35,-0.88;-0.52,-5.35,0.01;0.53,-0.64,-0.25;-0.06,0.51,10.02;5.85,-2.70
118.80809707,31.89047145,8.47;0.35,264.35,-0.88;-0.52,-5.35,0.01;0.53,-0.64,-0.25;-0.06,0.51,10.02;5.87,-2.80
118.80809707,31.89047145,8.47;0.35,264.35,-0.88;-0.52,-5.35,0.01;0.53,-0.64,-0.25;-0.06,0.51,10.02;6.04,-2.80
118.80809707,31.89047145,8.47;0.35,264.35,-0.88;-0.52,-5.35,0.01;0.53,-0.64,-0.25;-0.06,0.51,10.02;6.04,-2.20
118.80805570,31.89046813,8.48;0.27,264.55,-0.72;-0.54,-5.82,0.02;0.53,-0.64,-0.25;-0.06,0.51,10.02;6.06,-2.40
118.80805570,31.89046813,8.48;0.27,264.55,-0.72;-0.54,-5.82,0.02;0.53,-0.64,-0.25;-0.06,0.51,10.02;6.07,-2.60
118.80805570,31.89046813,8.48;0.27,264.55,-0.72;-0.54,-5.82,0.02;0.53,-0.64,-0.25;-0.06,0.51,10.02;6.09,-2.80
118.80805570,31.89046813,8.48;0.27,264.55,-0.72;-0.54,-5.82,0.02;0.53,-0.64,-0.25;-0.06,0.51,10.02;6.09,-3.10
118.80805570,31.89046813,8.48;0.27,264.55,-0.72;-0.54,-5.82,0.02;0.75,0.20,-1.09;0.46,-0.09,9.44;6.11,-3.50
