  longitude ,  latitude ,high;roll,yaw,pitch;n_vel,e_vel,u_vel;angleSpeedx_y_z;lineAccx_y_z;speed,steeringAngle
118.80721654,31.89042244,8.54;0.04,87.35,-0.82;0.20,4.59,0.02;0.73,0.60,0.61;0.20,1.36,9.64;4.90,5.30
118.80721654,31.89042244,8.54;0.04,87.35,-0.82;0.20,4.59,0.02;0.73,0.60,0.61;0.20,1.36,9.64;4.92,5.40
118.80721654,31.89042244,8.54;0.04,87.35,-0.82;0.20,4.59,0.02;0.73,0.60,0.61;0.20,1.36,9.64;4.94,5.40
118.80721654,31.89042244,8.54;0.04,87.35,-0.82;0.20,4.59,0.02;0.73,0.60,0.61;0.20,1.36,9.64;4.97,5.30
118.80721654,31.89042244,8.54;0.04,87.35,-0.82;0.20,4.59,0.02;0.73,0.60,0.61;0.20,1.36,9.64;4.98,5.30
118.80721654,31.89042244,8.54;0.04,87.35,-0.82;0.20,4.59,0.02;0.73,0.60,0.61;0.20,1.36,9.64;5.01,5.30
118.80721654,31.89042244,8.54;0.04,87.35,-0.82;0.20,4.59,0.02;0.73,0.60,0.61;0.20,1.36,9.64;5.02,5.30
118.80721654,31.89042244,8.54;0.04,87.35,-0.82;0.20,4.59,0.02;0.73,0.60,0.61;0.20,1.36,9.64;5.02,5.50
118.80721654,31.89042244,8.54;0.04,87.35,-0.82;0.20,4.59,0.02;0.73,0.60,0.61;0.20,1.36,9.64;5.30,5.50
118.80721654,31.89042244,8.54;0.04,87.35,-0.82;0.20,4.59,0.02;0.73,0.60,0.61;0.20,1.36,9.64;5.32,5.40
118.80721654,31.89042244,8.54;0.04,87.35,-0.82;0.20,4.59,0.02;0.73,0.60,0.61;0.20,1.36,9.64;5.34,5.40
118.80725311,31.89042398,8.55;0.04,86.98,-0.77;0.26,5.29,0.02;0.73,0.60,0.61;0.20,1.36,9.64;5.35,5.40
118.80725311,31.89042398,8.55;0.04,86.98,-0.77;0.26,5.29,0.02;0.73,0.60,0.61;0.20,1.36,9.64;5.37,5.50
118.80725311,31.89042398,8.55;0.04,86.98,-0.77;0.26,5.29,0.02;0.73,0.60,0.61;0.20,1.36,9.64;5.39,5.50
118.80725311,31.89042398,8.55;0.04,86.98,-0.77;0.26,5.29,0.02;0.65,-0.62,0.55;0.12,1.48,9.98;5.39,5.70
118.80725311,31.89042398,8.55;0.04,86.98,-0.77;0.26,5.29,0.02;0.37,-0.18,0.50;-0.11,0.33,9.52;5.66,5.70
118.80725311,31.89042398,8.55;0.04,86.98,-0.77;0.26,5.29,0.02;0.37,-0.18,0.50;-0.11,0.33,9.52;5.68,5.70
118.80725311,31.89042398,8.55;0.04,86.98,-0.77;0.26,5.29,0.02;0.37,-0.18,0.50;-0.11,0.33,9.52;5.70,5.70
118.80725311,31.89042398,8.55;0.04,86.98,-0.77;0.26,5.29,0.02;0.37,-0.18,0.50;-0.11,0.33,9.52;5.70,5.70
118.80725311,31.89042398,8.55;0.04,86.98,-0.77;0.26,5.29,0.02;0.37,-0.18,0.50;-0.11,0.33,9.52;5.73,5.70
118.80725311,31.89042398,8.55;0.04,86.98,-0.77;0.26,5.29,0.02;0.37,-0.18,0.50;-0.11,0.33,9.52;5.76,5.70
118.80725311,31.89042398,8.55;0.04,86.98,-0.77;0.26,5.29,0.02;0.37,-0.18,0.50;-0.11,0.33,9.52;5.77,5.70
