  longitude ,  latitude ,high;roll,yaw,pitch;n_vel,e_vel,u_vel;angleSpeedx_y_z;lineAccx_y_z;speed,steeringAngle
118.80793727,31.89046268,8.49;0.24,264.73,-0.87;-0.86,-9.60,0.02;1.59,-0.33,0.75;0.05,0.41,9.28;9.92,4.40
118.80793727,31.89046268,8.49;0.24,264.73,-0.87;-0.86,-9.60,0.02;1.59,-0.33,0.75;0.05,0.41,9.28;9.93,4.30
118.80793727,31.89046268,8.49;0.24,264.73,-0.87;-0.86,-9.60,0.02;1.59,-0.33,0.75;0.05,0.41,9.28;9.93,4.20
118.80793727,31.89046268,8.49;0.24,264.73,-0.87;-0.86,-9.60,0.02;1.59,-0.33,0.75;0.05,0.41,9.28;9.94,4.00
118.80793727,31.89046268,8.49;0.24,264.73,-0.87;-0.86,-9.60,0.02;1.59,-0.33,0.75;0.05,0.41,9.28;10.19,-7.30
118.80793727,31.89046268,8.49;0.24,264.73,-0.87;-0.86,-9.60,0.02;1.59,-0.33,0.75;0.05,0.41,9.28;10.21,-8.10
118.80793727,31.89046268,8.49;0.24,264.73,-0.87;-0.86,-9.60,0.02;1.59,-0.33,0.75;0.05,0.41,9.28;10.23,-9.50
118.80793727,31.89046268,8.49;0.24,264.73,-0.87;-0.86,-9.60,0.02;1.59,-0.33,0.75;0.05,0.41,9.28;10.24,-10.90
118.80793727,31.89046268,8.49;0.24,264.73,-0.87;-0.86,-9.60,0.02;1.59,-0.33,0.75;0.05,0.41,9.28;10.25,-12.20
118.80793727,31.89046268,8.49;0.24,264.73,-0.87;-0.86,-9.60,0.02;1.59,-0.33,0.75;0.05,0.41,9.28;10.26,-13.40
118.80793727,31.89046268,8.49;0.24,264.73,-0.87;-0.86,-9.60,0.02;1.40,-1.25,-4.25;0.53,0.28,9.04;10.27,-13.90
118.80793727,31.89046268,8.49;0.24,264.73,-0.87;-0.86,-9.60,0.02;1.40,-1.25,-4.25;0.53,0.28,9.04;10.49,-21.30
118.80793727,31.89046268,8.49;0.24,264.73,-0.87;-0.86,-9.60,0.02;1.40,-1.25,-4.25;0.53,0.28,9.04;10.50,-21.40
118.80793727,31.89046268,8.49;0.24,264.73,-0.87;-0.86,-9.60,0.02;1.40,-1.25,-4.25;0.53,0.28,9.04;10.52,-21.40
118.80786402,31.89045740,8.50;-0.23,266.53,-0.84;-0.65,-10.19,0.02;1.40,-1.25,-4.25;0.53,0.28,9.04;10.54,-21.30
118.80786402,31.89045740,8.50;-0.23,266.53,-0.84;-0.65,-10.19,0.02;1.40,-1.25,-4.25;0.53,0.28,9.04;10.54,-21.20
118.80786402,31.89045740,8.50;-0.23,266.53,-0.84;-0.65,-10.19,0.02;1.40,-1.25,-4.25;0.53,0.28,9.04;10.55,-21.00
118.80786402,31.89045740,8.50;-0.23,266.53,-0.84;-0.65,-10.19,0.02;1.40,-1.25,-4.25;0.53,0.28,9.04;10.56,-20.80
118.80786402,31.89045740,8.50;-0.23,266.53,-0.84;-0.65,-10.19,0.02;1.40,-1.25,-4.25;0.53,0.28,9.04;10.56,-20.80
118.80786402,31.89045740,8.50;-0.23,266.53,-0.84;-0.65,-10.19,0.02;1.40,-1.25,-4.25;0.53,0.28,9.04;10.77,-22.40
118.80786402,31.89045740,8.50;-0.23,266.53,-0.84;-0.65,-10.19,0.02;1.40,-1.25,-4.25;0.53,0.28,9.04;10.79,-22.30
118.80786402,31.89045740,8.50;-0.23,266.53,-0.84;-0.65,-10.19,0.02;1.40,-1.25,-4.25;0.53,0.28,9.04;10.81,-22.00
118.80786402,31.89045740,8.50;-0.23,266.53,-0.84;-0.65,-10.19,0.02;1.40,-1.25,-4.25;0.53,0.28,9.04;10.82,-21.30
118.80786402,31.89045740,8.50;-0.23,266.53,-0.84;-0.65,-10.19,0.02;1.40,-1.25,-4.25;0.53,0.28,9.04;10.84,-20.30
118.80786402,31.89045740,8.50;-0.23,266.53,-0.84;-0.65,-10.19,0.02;0.54,-1.01,-4.93;1.10,0.51,9.79;10.85,-19.70
118.80786402,31.89045740,8.50;-0.23,266.53,-0.84;-0.65,-10.19,0.02;0.20,0.08,-1.34;0.52,0.39,9.81;10.85,5.60
118.80786402,31.89045740,8.50;-0.23,266.53,-0.84;-0.65,-10.19,0.02;0.20,0.08,-1.34;0.52,0.39,9.81;11.03,6.50
118.80786402,31.89045740,8.50;-0.23,266.53,-0.84;-0.65,-10.19,0.02;0.20,0.08,-1.34;0.52,0.39,9.81;11.04,8.10
118.80786402,31.89045740,8.50;-0.23,266.53,-0.84;-0.65,-10.19,0.02;0.20,0.08,-1.34;0.52,0.39,9.81;11.06,9.50
118.80778109,31.89045509,8.52;0.23,268.47,-0.96;-0.21,-10.75,0.02;0.20,0.08,-1.34;0.52,0.39,9.81;11.06,10.60
118.80778109,31.89045509,8.52;0.23,268.47,-0.96;-0.21,-10.75,0.02;0.20,0.08,-1.34;0.52,0.39,9.81;11.08,11.60
118.80778109,31.89045509,8.52;0.23,268.47,-0.96;-0.21,-10.75,0.02;0.20,0.08,-1.34;0.52,0.39,9.81;11.09,12.50
118.80778109,31.89045509,8.52;0.23,268.47,-0.96;-0.21,-10.75,0.02;0.20,0.08,-1.34;0.52,0.39,9.81;11.09,13.30
118.80778109,31.89045509,8.52;0.23,268.47,-0.96;-0.21,-10.75,0.02;0.20,0.08,-1.34;0.52,0.39,9.81;11.32,24.20
118.80778109,31.89045509,8.52;0.23,268.47,-0.96;-0.21,-10.75,0.02;0.20,0.08,-1.34;0.52,0.39,9.81;11.34,24.60
118.80778109,31.89045509,8.52;0.23,268.47,-0.96;-0.21,-10.75,0.02;0.20,0.08,-1.34;0.52,0.39,9.81;11.35,25.20
118.80778109,31.89045509,8.52;0.23,268.47,-0.96;-0.21,-10.75,0.02;0.20,0.08,-1.34;0.52,0.39,9.81;11.36,25.80
118.80778109,31.89045509,8.52;0.23,268.47,-0.96;-0.21,-10.75,0.02;0.20,0.08,-1.34;0.52,0.39,9.81;11.36,26.30
118.80778109,31.89045509,8.52;0.23,268.47,-0.96;-0.21,-10.75,0.02;0.77,-0.26,6.68;-1.40,0.10,9.58;11.36,26.80
118.80778109,31.89045509,8.52;0.23,268.47,-0.96;-0.21,-10.75,0.02;0.77,-0.26,6.68;-1.40,0.10,9.58;11.37,27.10
118.80778109,31.89045509,8.52;0.23,268.47,-0.96;-0.21,-10.75,0.02;0.77,-0.26,6.68;-1.40,0.10,9.58;11.57,18.60
118.80778109,31.89045509,8.52;0.23,268.47,-0.96;-0.21,-10.75,0.02;0.77,-0.26,6.68;-1.40,0.10,9.58;11.59,17.70
118.80778109,31.89045509,8.52;0.23,268.47,-0.96;-0.21,-10.75,0.02;0.77,-0.26,6.68;-1.40,0.10,9.58;11.59,16.10
118.80769993,31.89045167,8.53;0.51,264.78,-0.81;-0.97,-11.18,0.04;0.77,-0.26,6.68;-1.40,0.10,9.58;11.61,14.40
