  longitude ,  latitude ,high;roll,yaw,pitch;n_vel,e_vel,u_vel;angleSpeedx_y_z;lineAccx_y_z;speed,steeringAngle
118.80668791,31.89039411,8.50;-0.24,83.48,-1.28;-0.00,0.00,-0.00;-0.05,-0.00,0.05;0.13,-0.14,9.80;0.00,11.80
118.80668791,31.89039411,8.50;-0.24,83.48,-1.28;-0.00,0.00,-0.00;-0.05,-0.00,0.05;0.13,-0.14,9.80;0.00,11.80
118.80668791,31.89039411,8.50;-0.24,83.48,-1.28;-0.00,0.00,-0.00;-0.05,-0.00,0.05;0.13,-0.14,9.80;0.00,11.70
118.80668791,31.89039411,8.50;-0.24,83.48,-1.28;-0.00,0.00,-0.00;-0.05,-0.00,0.05;0.13,-0.14,9.80;0.00,11.70
118.80668791,31.89039411,8.50;-0.24,83.48,-1.28;-0.00,0.00,-0.00;-0.05,-0.00,0.05;0.13,-0.14,9.80;0.00,11.70
118.80668791,31.89039411,8.50;-0.24,83.48,-1.28;-0.00,0.00,-0.00;-0.05,-0.00,0.05;0.13,-0.14,9.80;0.00,11.70
118.80668791,31.89039411,8.50;-0.24,83.48,-1.28;-0.00,0.00,-0.00;-0.05,-0.00,0.05;0.13,-0.14,9.80;0.00,11.60
118.80668791,31.89039411,8.50;-0.24,83.48,-1.28;-0.00,0.00,-0.00;-0.05,-0.00,0.05;0.13,-0.14,9.80;0.00,11.60
118.80668790,31.89039411,8.50;-0.24,83.48,-1.28;0.00,0.00,-0.00;-0.05,-0.00,0.05;0.13,-0.14,9.80;0.00,11.60
118.80668790,31.89039411,8.50;-0.24,83.48,-1.28;0.00,0.00,-0.00;-0.05,-0.00,0.05;0.13,-0.14,9.80;0.00,11.60
118.80668790,31.89039411,8.50;-0.24,83.48,-1.28;0.00,0.00,-0.00;-0.05,-0.00,0.05;0.13,-0.14,9.80;0.00,11.60
118.80668790,31.89039411,8.50;-0.24,83.48,-1.28;0.00,0.00,-0.00;-0.05,-0.00,0.05;0.13,-0.14,9.80;0.00,11.60
118.80668790,31.89039411,8.50;-0.24,83.48,-1.28;0.00,0.00,-0.00;-0.05,-0.00,0.05;0.13,-0.14,9.80;0.00,11.60
118.80668790,31.89039411,8.50;-0.24,83.48,-1.28;0.00,0.00,-0.00;-0.05,-0.00,0.05;0.13,-0.14,9.80;0.00,11.60
118.80668790,31.89039411,8.50;-0.24,83.48,-1.28;0.00,0.00,-0.00;-0.01,-0.00,0.04;0.13,-0.14,9.80;0.00,11.60
118.80668790,31.89039411,8.50;-0.24,83.48,-1.28;0.00,0.00,-0.00;0.00,-0.03,0.03;0.12,-0.13,9.81;0.00,11.70
118.80668790,31.89039411,8.50;-0.24,83.48,-1.28;0.00,0.00,-0.00;0.00,-0.03,0.03;0.12,-0.13,9.81;0.00,11.60
118.80668790,31.89039411,8.50;-0.24,83.48,-1.28;0.00,0.00,-0.00;0.00,-0.03,0.03;0.12,-0.13,9.81;0.00,11.60
118.80668790,31.89039411,8.50;-0.24,83.48,-1.28;0.00,0.00,-0.00;0.00,-0.03,0.03;0.12,-0.13,9.81;0.00,11.60
118.80668790,31.89039411,8.50;-0.24,83.48,-1.28;0.00,0.00,-0.00;0.00,-0.03,0.03;0.12,-0.13,9.81;0.00,11.60
118.80668790,31.89039411,8.50;-0.24,83.48,-1.28;0.00,0.00,-0.00;0.00,-0.03,0.03;0.12,-0.13,9.81;0.00,11.60
118.80668790,31.89039411,8.50;-0.24,83.48,-1.28;0.00,0.00,-0.00;0.00,-0.03,0.03;0.12,-0.13,9.81;0.00,11.60
118.80668802,31.89039412,8.50;-0.24,83.47,-1.21;0.02,0.12,-0.00;0.00,-0.03,0.03;0.12,-0.13,9.81;0.00,11.60
118.80668802,31.89039412,8.50;-0.24,83.47,-1.21;0.02,0.12,-0.00;0.00,-0.03,0.03;0.12,-0.13,9.81;0.00,11.50
118.80668802,31.89039412,8.50;-0.24,83.47,-1.21;0.02,0.12,-0.00;0.00,-0.03,0.03;0.12,-0.13,9.81;0.00,11.50
118.80668802,31.89039412,8.50;-0.24,83.47,-1.21;0.02,0.12,-0.00;0.00,-0.03,0.03;0.12,-0.13,9.81;0.00,11.40
118.80668802,31.89039412,8.50;-0.24,83.47,-1.21;0.02,0.12,-0.00;0.00,-0.03,0.03;0.12,-0.13,9.81;0.00,11.40
118.80668802,31.89039412,8.50;-0.24,83.47,-1.21;0.02,0.12,-0.00;0.00,-0.03,0.03;0.12,-0.13,9.81;0.01,11.40
118.80668802,31.89039412,8.50;-0.24,83.47,-1.21;0.02,0.12,-0.00;0.59,-0.16,0.19;0.26,1.05,9.53;0.01,11.40
118.80668802,31.89039412,8.50;-0.24,83.47,-1.21;0.02,0.12,-0.00;0.89,-0.04,0.27;0.18,1.60,9.59;0.01,11.40
118.80668802,31.89039412,8.50;-0.24,83.47,-1.21;0.02,0.12,-0.00;0.89,-0.04,0.27;0.18,1.60,9.59;0.40,11.40
118.80668802,31.89039412,8.50;-0.24,83.47,-1.21;0.02,0.12,-0.00;0.89,-0.04,0.27;0.18,1.60,9.59;0.40,10.80
118.80668802,31.89039412,8.50;-0.24,83.47,-1.21;0.02,0.12,-0.00;0.89,-0.04,0.27;0.18,1.60,9.59;0.43,10.80
118.80668802,31.89039412,8.50;-0.24,83.47,-1.21;0.02,0.12,-0.00;0.89,-0.04,0.27;0.18,1.60,9.59;0.46,10.80
118.80668802,31.89039412,8.50;-0.24,83.47,-1.21;0.02,0.12,-0.00;0.89,-0.04,0.27;0.18,1.60,9.59;0.49,10.80
118.80668802,31.89039412,8.50;-0.24,83.47,-1.21;0.02,0.12,-0.00;0.89,-0.04,0.27;0.18,1.60,9.59;0.54,10.80
118.80668802,31.89039412,8.50;-0.24,83.47,-1.21;0.02,0.12,-0.00;0.89,-0.04,0.27;0.18,1.60,9.59;0.59,10.80
118.80669287,31.89039458,8.50;-0.31,83.33,-0.84;0.15,1.27,-0.00;0.89,-0.04,0.27;0.18,1.60,9.59;0.59,10.70
118.80669287,31.89039458,8.50;-0.31,83.33,-0.84;0.15,1.27,-0.00;0.89,-0.04,0.27;0.18,1.60,9.59;1.15,10.70
118.80669287,31.89039458,8.50;-0.31,83.33,-0.84;0.15,1.27,-0.00;0.89,-0.04,0.27;0.18,1.60,9.59;1.19,10.70
118.80669287,31.89039458,8.50;-0.31,83.33,-0.84;0.15,1.27,-0.00;0.89,-0.04,0.27;0.18,1.60,9.59;1.23,10.70
118.80669287,31.89039458,8.50;-0.31,83.33,-0.84;0.15,1.27,-0.00;0.89,-0.04,0.27;0.18,1.60,9.59;1.27,10.70
118.80669287,31.89039458,8.50;-0.31,83.33,-0.84;0.15,1.27,-0.00;0.13,-0.19,0.54;0.17,1.70,9.69;1.31,10.60
