  longitude ,  latitude ,high;roll,yaw,pitch;n_vel,e_vel,u_vel;angleSpeedx_y_z;lineAccx_y_z;speed,steeringAngle
118.80705439,31.89041920,8.44;-0.03,86.02,-0.64;0.20,3.16,-0.01;0.18,-0.70,0.63;-0.08,0.84,10.29;3.18,15.90
118.80705439,31.89041920,8.44;-0.03,86.02,-0.64;0.20,3.16,-0.01;0.18,-0.70,0.63;-0.08,0.84,10.29;3.20,15.90
118.80705439,31.89041920,8.44;-0.03,86.02,-0.64;0.20,3.16,-0.01;0.18,-0.70,0.63;-0.08,0.84,10.29;3.23,15.90
118.80705439,31.89041920,8.44;-0.03,86.02,-0.64;0.20,3.16,-0.01;0.27,-0.45,1.24;-0.08,1.59,9.80;3.25,16.00
118.80705439,31.89041920,8.44;-0.03,86.02,-0.64;0.20,3.16,-0.01;-0.70,-0.62,1.37;-0.09,1.46,10.21;3.27,16.00
118.80705439,31.89041920,8.44;-0.03,86.02,-0.64;0.20,3.16,-0.01;-0.70,-0.62,1.37;-0.09,1.46,10.21;3.30,16.10
118.80705439,31.89041920,8.44;-0.03,86.02,-0.64;0.20,3.16,-0.01;-0.70,-0.62,1.37;-0.09,1.46,10.21;3.60,15.90
118.80705439,31.89041920,8.44;-0.03,86.02,-0.64;0.20,3.16,-0.01;-0.70,-0.62,1.37;-0.09,1.46,10.21;3.64,15.90
118.80705439,31.89041920,8.44;-0.03,86.02,-0.64;0.20,3.16,-0.01;-0.70,-0.62,1.37;-0.09,1.46,10.21;3.67,15.90
118.80705439,31.89041920,8.44;-0.03,86.02,-0.64;0.20,3.16,-0.01;-0.70,-0.62,1.37;-0.09,1.46,10.21;3.70,15.90
118.80705439,31.89041920,8.44;-0.03,86.02,-0.64;0.20,3.16,-0.01;-0.70,-0.62,1.37;-0.09,1.46,10.21;3.72,15.80
118.80705439,31.89041920,8.44;-0.03,86.02,-0.64;0.20,3.16,-0.01;-0.70,-0.62,1.37;-0.09,1.46,10.21;3.72,15.80
118.80705439,31.89041920,8.44;-0.03,86.02,-0.64;0.20,3.16,-0.01;-0.70,-0.62,1.37;-0.09,1.46,10.21;3.74,15.80
118.80705439,31.89041920,8.44;-0.03,86.02,-0.64;0.20,3.16,-0.01;-0.70,-0.62,1.37;-0.09,1.46,10.21;3.77,15.20
118.80708299,31.89042118,8.45;-0.05,84.98,-0.76;0.36,4.08,0.02;-0.70,-0.62,1.37;-0.09,1.46,10.21;4.13,15.20
118.80708299,31.89042118,8.45;-0.05,84.98,-0.76;0.36,4.08,0.02;-0.70,-0.62,1.37;-0.09,1.46,10.21;4.15,15.10
118.80708299,31.89042118,8.45;-0.05,84.98,-0.76;0.36,4.08,0.02;-0.70,-0.62,1.37;-0.09,1.46,10.21;4.18,15.00
118.80708299,31.89042118,8.45;-0.05,84.98,-0.76;0.36,4.08,0.02;-0.70,-0.62,1.37;-0.09,1.46,10.21;4.20,15.00
118.80708299,31.89042118,8.45;-0.05,84.98,-0.76;0.36,4.08,0.02;-2.00,0.14,1.46;-0.12,1.21,10.07;4.23,14.90
118.80708299,31.89042118,8.45;-0.05,84.98,-0.76;0.36,4.08,0.02;0.26,1.43,1.46;0.27,1.43,10.08;4.26,14.80
118.80708299,31.89042118,8.45;-0.05,84.98,-0.76;0.36,4.08,0.02;0.26,1.43,1.46;0.27,1.43,10.08;4.26,13.20
118.80708299,31.89042118,8.45;-0.05,84.98,-0.76;0.36,4.08,0.02;0.26,1.43,1.46;0.27,1.43,10.08;4.26,13.10
118.80708299,31.89042118,8.45;-0.05,84.98,-0.76;0.36,4.08,0.02;0.26,1.43,1.46;0.27,1.43,10.08;4.59,12.90
118.80708299,31.89042118,8.45;-0.05,84.98,-0.76;0.36,4.08,0.02;0.26,1.43,1.46;0.27,1.43,10.08;4.61,12.60
