289526.769	3497373.992	3.1060
289526.768	3497373.873	3.0901
289526.769	3497373.764	3.0785
289526.775	3497373.633	3.0639
289526.786	3497373.522	3.0519
289526.802	3497373.401	3.0403
289526.825	3497373.270	3.0274
289526.848	3497373.131	3.0141
289526.869	3497372.981	2.9999
289526.885	3497372.874	2.9910
289526.902	3497372.761	2.9822
289526.921	3497372.641	2.9727
289526.943	3497372.514	2.9631
289526.966	3497372.380	2.9536
289526.993	3497372.239	2.9433
289527.023	3497372.091	2.9332
289527.054	3497371.935	2.9240
289527.087	3497371.773	2.9124
289527.121	3497371.606	2.9026
289527.159	3497371.436	2.8946
289527.199	3497371.269	2.8861
289527.245	3497371.103	2.8794
289527.294	3497370.935	2.8732
289527.340	3497370.763	2.8648
289527.387	3497370.587	2.8576
289527.437	3497370.410	2.8499
289527.488	3497370.231	2.8423
289527.540	3497370.049	2.8358
289527.596	3497369.867	2.8303
289527.652	3497369.682	2.8228
289527.710	3497369.495	2.8167
289527.771	3497369.307	2.8111
289527.801	3497369.211	2.8082
289527.831	3497369.114	2.8057
289527.861	3497369.015	2.8036
289527.894	3497368.914	2.8020
289527.928	3497368.813	2.8003
289527.963	3497368.710	2.7977
289528.000	3497368.607	2.7953
289528.040	3497368.503	2.7935
289528.080	3497368.399	2.7918
289528.120	3497368.295	2.7913
289528.161	3497368.190	2.7910
289528.201	3497368.083	2.7904
289528.240	3497367.977	2.7889
289528.277	3497367.872	2.7867
289528.313	3497367.769	2.7855
289528.348	3497367.666	2.7851
289528.384	3497367.566	2.7851
289528.419	3497367.466	2.7842
289528.453	3497367.368	2.7835
289528.487	3497367.273	2.7832
289528.556	3497367.088	2.7834
289528.622	3497366.909	2.7848
289528.686	3497366.737	2.7859
289528.748	3497366.571	2.7865
289528.808	3497366.409	2.7876
289528.865	3497366.253	2.7883
289528.922	3497366.099	2.7911
289528.977	3497365.949	2.7922
289529.027	3497365.803	2.7923
289529.074	3497365.663	2.7932
289529.120	3497365.528	2.7954
289529.164	3497365.400	2.7979
289529.209	3497365.280	2.7987
289529.252	3497365.167	2.8005
289529.290	3497365.061	2.8021
289529.322	3497364.961	2.8015
289529.370	3497364.824	2.8038
289529.411	3497364.704	2.8037
289529.443	3497364.603	2.8059
289529.480	3497364.491	2.8071
289529.513	3497364.395	2.8075
289529.545	3497364.289	2.8088
289529.574	3497364.186	2.8085
289529.602	3497364.079	2.8103
289529.628	3497363.975	2.8110
289529.659	3497363.857	2.8130
289529.703	3497363.730	2.8162
289529.738	3497363.611	2.8168
289529.776	3497363.479	2.8198
289529.809	3497363.381	2.8229
289529.844	3497363.277	2.8241
289529.877	3497363.166	2.8255
289529.909	3497363.050	2.8279
289529.940	3497362.930	2.8295
289529.970	3497362.805	2.8325
289530.001	3497362.675	2.8366
289530.036	3497362.538	2.8388
289530.077	3497362.397	2.8416
289530.120	3497362.249	2.8457
289530.160	3497362.095	2.8502
289530.197	3497361.936	2.8531
289530.235	3497361.774	2.8560
289530.277	3497361.614	2.8595
289530.318	3497361.455	2.8616
289530.357	3497361.295	2.8641
289530.398	3497361.134	2.8701
289530.440	3497360.968	2.8748
289530.484	3497360.796	2.8780
289530.530	3497360.617	2.8830
289530.583	3497360.434	2.8899
289530.633	3497360.246	2.8937
289530.677	3497360.054	2.8981
289530.717	3497359.859	2.9036
289530.755	3497359.664	2.9082
289530.792	3497359.468	2.9138
289530.813	3497359.370	2.9176
289530.836	3497359.270	2.9205
289530.860	3497359.170	2.9231
289530.884	3497359.069	2.9257
289530.906	3497358.967	2.9282
289530.924	3497358.864	2.9307
289530.941	3497358.760	2.9333
289530.955	3497358.654	2.9357
289530.969	3497358.545	2.9380
289530.986	3497358.435	2.9410
289531.007	3497358.325	2.9446
289531.030	3497358.214	2.9479
289531.053	3497358.102	2.9504
289531.075	3497357.989	2.9528
289531.095	3497357.873	2.9552
289531.112	3497357.756	2.9575
289531.128	3497357.637	2.9599
289531.145	3497357.516	2.9617
289531.164	3497357.393	2.9638
289531.184	3497357.270	2.9662
289531.207	3497357.144	2.9691
289531.232	3497357.017	2.9715
289531.256	3497356.888	2.9730
289531.280	3497356.758	2.9746
289531.303	3497356.628	2.9773
289531.322	3497356.497	2.9799
289531.339	3497356.367	2.9822
289531.354	3497356.238	2.9835
289531.369	3497356.109	2.9849
289531.384	3497355.981	2.9875
289531.400	3497355.852	2.9896
289531.416	3497355.722	2.9918
289531.434	3497355.593	2.9944
289531.453	3497355.464	2.9977
289531.472	3497355.335	3.0011
289531.490	3497355.207	3.0042
289531.507	3497355.080	3.0068
289531.522	3497354.955	3.0101
289531.536	3497354.831	3.0131
289531.548	3497354.707	3.0156
289531.558	3497354.584	3.0181
289531.568	3497354.461	3.0213
289531.578	3497354.337	3.0247
289531.589	3497354.214	3.0281
289531.601	3497354.092	3.0314
289531.611	3497353.970	3.0347
289531.622	3497353.850	3.0386
289531.633	3497353.731	3.0425
289531.644	3497353.612	3.0462
289531.656	3497353.493	3.0500
289531.667	3497353.375	3.0536
289531.677	3497353.258	3.0572
289531.685	3497353.142	3.0602
289531.691	3497353.027	3.0632
289531.697	3497352.912	3.0665
289531.702	3497352.797	3.0691
289531.706	3497352.684	3.0715
289531.710	3497352.572	3.0734
289531.714	3497352.459	3.0755
289531.717	3497352.348	3.0779
289531.721	3497352.238	3.0807
289531.725	3497352.128	3.0833
289531.728	3497352.018	3.0854
289531.731	3497351.909	3.0872
289531.733	3497351.801	3.0890
289531.734	3497351.694	3.0906
289531.736	3497351.589	3.0925
289531.737	3497351.484	3.0951
