289529.324	3497353.220	3.021	0.01647
289529.337	3497353.104	3.024	0.01566
289529.349	3497352.989	3.026	0.01587
289529.360	3497352.873	3.028	0.01670
289529.372	3497352.758	3.030	0.01747
289529.383	3497352.643	3.032	0.01762
289529.393	3497352.528	3.034	0.01770
289529.403	3497352.414	3.035	0.01780
289529.413	3497352.300	3.038	0.01804
289529.420	3497352.185	3.039	0.01824
289529.429	3497352.071	3.041	0.01846
289529.438	3497351.956	3.044	0.01923
289529.446	3497351.842	3.046	0.02016
289529.454	3497351.729	3.047	0.02067
289529.462	3497351.615	3.049	0.02126
289529.470	3497351.502	3.052	0.02195
289529.478	3497351.390	3.055	0.02314
289529.484	3497351.277	3.057	0.02337
289529.492	3497351.165	3.059	0.02404
289529.500	3497351.054	3.063	0.02514
289529.508	3497350.942	3.066	0.02630
289529.514	3497350.831	3.069	0.02753
289529.519	3497350.721	3.071	0.02855
289529.526	3497350.610	3.075	0.02943
289529.532	3497350.500	3.078	0.03015
289529.538	3497350.390	3.081	0.03091
289529.543	3497350.280	3.084	0.03144
289529.549	3497350.171	3.088	0.03217
289529.552	3497350.063	3.091	0.03330
289529.553	3497349.952	3.095	0.03442
289529.554	3497349.842	3.099	0.03581
289529.553	3497349.732	3.103	0.03736
289529.550	3497349.623	3.107	0.03918
289529.547	3497349.513	3.111	0.04051
289529.546	3497349.404	3.115	0.04164
289529.545	3497349.295	3.119	0.04306
289529.545	3497349.186	3.124	0.04426
289529.545	3497349.077	3.128	0.04510
289529.545	3497348.968	3.134	0.04580
289529.544	3497348.859	3.139	0.04696
289529.541	3497348.749	3.145	0.04798
289529.538	3497348.641	3.150	0.04837
289529.534	3497348.531	3.156	0.04881
289529.530	3497348.421	3.162	0.04903
289529.525	3497348.310	3.168	0.04904
289529.521	3497348.200	3.174	0.04831
289529.516	3497348.089	3.179	0.04751
289529.510	3497347.978	3.184	0.04662
289529.502	3497347.866	3.190	0.04524
289529.492	3497347.756	3.195	0.04351
289529.480	3497347.644	3.200	0.04230
289529.469	3497347.532	3.205	0.04159
289529.457	3497347.419	3.209	0.04086
289529.446	3497347.306	3.214	0.03959
289529.436	3497347.192	3.219	0.03821
289529.425	3497347.078	3.223	0.03699
289529.413	3497346.963	3.226	0.03604
289529.399	3497346.848	3.229	0.03526
289529.386	3497346.733	3.233	0.03465
289529.372	3497346.616	3.239	0.03433
289529.359	3497346.499	3.243	0.03406
289529.346	3497346.381	3.247	0.03370
289529.332	3497346.263	3.250	0.03393
289529.319	3497346.143	3.253	0.03510
289529.305	3497346.022	3.257	0.03650
289529.290	3497345.901	3.262	0.03728
289529.273	3497345.780	3.266	0.03719
289529.255	3497345.658	3.270	0.03722
