275226.412	3479719.273	3.611	0.00000
275226.319	3479719.093	3.610	0.00000
275226.209	3479718.891	3.609	0.00000
275226.106	3479718.703	3.608	0.00000
275225.996	3479718.500	3.607	0.00000
275225.892	3479718.306	3.605	0.00000
275225.788	3479718.108	3.604	0.00000
275225.697	3479717.929	3.602	-0.00823
275225.594	3479717.736	3.601	-0.00791
275225.492	3479717.539	3.599	-0.00732
275225.392	3479717.346	3.597	-0.00709
275225.296	3479717.155	3.596	-0.00688
275225.200	3479716.967	3.594	-0.00621
275225.108	3479716.784	3.592	-0.00601
275225.016	3479716.605	3.591	-0.00548
275224.923	3479716.418	3.589	-0.00524
275224.819	3479716.215	3.587	-0.00472
275224.709	3479715.992	3.585	-0.00436
275224.590	3479715.756	3.583	-0.00373
275224.501	3479715.576	3.581	-0.00371
275224.385	3479715.342	3.579	-0.00308
275224.273	3479715.117	3.577	-0.00271
275224.163	3479714.894	3.575	-0.00238
275224.048	3479714.662	3.573	-0.00206
275223.959	3479714.478	3.571	-0.00234
275223.866	3479714.288	3.569	-0.00205
275223.773	3479714.096	3.568	-0.00205
275223.684	3479713.906	3.566	-0.00205
275223.597	3479713.721	3.564	-0.00202
275223.510	3479713.535	3.563	-0.00202
275223.422	3479713.346	3.562	-0.00201
275223.331	3479713.152	3.562	-0.00201
275223.236	3479712.949	3.561	-0.00202
275223.140	3479712.744	3.560	-0.00202
275223.044	3479712.544	3.560	-0.00173
275222.950	3479712.348	3.559	-0.00173
275222.857	3479712.149	3.559	-0.00144
275222.760	3479711.946	3.558	-0.00144
275222.661	3479711.738	3.558	-0.00144
275222.563	3479711.530	3.557	-0.00116
275222.466	3479711.323	3.557	-0.00116
275222.369	3479711.118	3.556	-0.00087
275222.272	3479710.911	3.556	-0.00058
275222.171	3479710.697	3.555	-0.00029
275222.067	3479710.480	3.555	-0.00029
275221.965	3479710.264	3.555	0.00028
275221.867	3479710.051	3.554	0.00028
275221.771	3479709.842	3.554	0.00086
275221.678	3479709.634	3.553	0.00114
275221.583	3479709.425	3.553	0.00114
275221.486	3479709.212	3.552	0.00144
275221.389	3479708.996	3.552	0.00144
275221.293	3479708.784	3.551	0.00173
275221.198	3479708.578	3.551	0.00202
275221.104	3479708.373	3.550	0.00202
275221.010	3479708.168	3.550	0.00232
275220.914	3479707.961	3.550	0.00232
275220.821	3479707.756	3.550	0.00234
275220.729	3479707.556	3.550	0.00234
275220.638	3479707.361	3.550	0.00266
275220.547	3479707.162	3.550	0.00237
275220.455	3479706.961	3.550	0.00270
275220.358	3479706.753	3.550	0.00274
275220.258	3479706.541	3.550	0.00246
275220.161	3479706.330	3.551	0.00277
275220.064	3479706.123	3.551	0.00248
275219.967	3479705.918	3.551	0.00273
275219.871	3479705.711	3.552	0.00244
275219.771	3479705.499	3.552	0.00215
275219.670	3479705.283	3.553	0.00242
275219.571	3479705.072	3.554	0.00212
275219.474	3479704.866	3.554	0.00212
275219.377	3479704.661	3.555	0.00181
275219.278	3479704.451	3.555	0.00181
275219.179	3479704.241	3.556	0.00149
275219.080	3479704.034	3.557	0.00149
275218.986	3479703.830	3.557	0.00116
275218.893	3479703.633	3.558	0.00084
275218.800	3479703.439	3.558	0.00053
275218.708	3479703.244	3.559	0.00021
275218.616	3479703.051	3.559	0.00021
275218.525	3479702.862	3.560	-0.00004
275218.437	3479702.679	3.560	-0.00004
275218.349	3479702.496	3.561	-0.00004
275218.259	3479702.312	3.562	-0.00031
275218.168	3479702.124	3.562	-0.00031
275218.077	3479701.933	3.563	-0.00031
275217.989	3479701.746	3.563	-0.00031
275217.876	3479701.506	3.564	-0.00031
275217.766	3479701.273	3.564	-0.00031
275217.657	3479701.042	3.564	-0.00031
275217.552	3479700.818	3.565	-0.00031
275217.449	3479700.603	3.565	-0.00031
275217.352	3479700.400	3.565	0.00000
275217.261	3479700.207	3.565	0.00000
275217.155	3479699.984	3.565	0.00000
275217.059	3479699.782	3.565	0.00000
275216.969	3479699.591	3.565	0.00000
275216.871	3479699.384	3.565	0.00000
275216.774	3479699.177	3.565	0.00000
275216.682	3479698.983	3.564	0.00000
275216.589	3479698.788	3.564	0.00000
275216.493	3479698.607	3.564	0.00000
275216.407	3479698.410	3.564	0.00000
275216.315	3479698.232	3.564	0.00000
