671405.112	3529321.844	2.274	0.01008
671405.214	3529321.765	2.276	0.00977
671405.318	3529321.682	2.277	0.01059
671405.399	3529321.617	2.278	0.00874
671405.488	3529321.545	2.279	0.00801
671405.583	3529321.464	2.280	0.00520
671405.685	3529321.376	2.281	0.00208
671405.794	3529321.282	2.281	0.00082
671405.910	3529321.182	2.281	-0.00056
671406.032	3529321.077	2.281	-0.00184
671406.161	3529320.967	2.280	-0.00330
671406.295	3529320.852	2.279	-0.00469
671406.435	3529320.732	2.278	-0.00614
671406.581	3529320.607	2.277	-0.00739
671406.731	3529320.479	2.275	-0.00849
671406.809	3529320.413	2.274	-0.00940
671406.888	3529320.347	2.273	-0.01028
671406.969	3529320.279	2.272	-0.01102
671407.051	3529320.211	2.271	-0.01165
671407.133	3529320.142	2.270	-0.01212
671407.217	3529320.072	2.268	-0.01238
671407.302	3529320.002	2.267	-0.01246
671407.388	3529319.931	2.265	-0.01237
671407.475	3529319.860	2.263	-0.01227
671407.562	3529319.789	2.262	-0.01225
671407.651	3529319.718	2.260	-0.01221
671407.740	3529319.646	2.259	-0.01217
671407.830	3529319.573	2.257	-0.01219
671407.920	3529319.500	2.256	-0.01194
671408.012	3529319.427	2.255	-0.01158
671408.104	3529319.354	2.253	-0.01128
671408.197	3529319.279	2.252	-0.01091
671408.291	3529319.204	2.251	-0.01060
671408.386	3529319.129	2.250	-0.01030
671408.481	3529319.052	2.249	-0.01006
671408.576	3529318.977	2.247	-0.00983
671408.673	3529318.903	2.246	-0.00956
671408.771	3529318.828	2.245	-0.00904
671408.869	3529318.753	2.243	-0.00823
671408.969	3529318.678	2.242	-0.00712
671409.069	3529318.601	2.241	-0.00576
671409.170	3529318.525	2.240	-0.00426
671409.272	3529318.447	2.239	-0.00249
671409.375	3529318.369	2.238	-0.00097
671409.480	3529318.291	2.237	0.00054
671409.585	3529318.212	2.237	0.00195
671409.692	3529318.134	2.237	0.00325
671409.799	3529318.054	2.238	0.00440
671409.906	3529317.973	2.239	0.00550
671410.014	3529317.890	2.241	0.00649
671410.123	3529317.807	2.243	0.00733
671410.232	3529317.723	2.244	0.00786
671410.342	3529317.638	2.246	0.00814
671410.452	3529317.552	2.248	0.00811
671410.564	3529317.466	2.249	0.00775
671410.676	3529317.378	2.250	0.00723
671410.788	3529317.289	2.251	0.00662
671410.902	3529317.199	2.252	0.00588
671411.016	3529317.108	2.253	0.00509
671411.133	3529317.016	2.253	0.00426
671411.251	3529316.924	2.254	0.00362
671411.371	3529316.830	2.254	0.00312
671411.492	3529316.735	2.254	0.00276
671411.614	3529316.639	2.255	0.00249
671411.737	3529316.541	2.255	0.00224
671411.861	3529316.442	2.255	0.00196
671411.987	3529316.342	2.255	0.00182
671412.115	3529316.241	2.256	0.00164
671412.243	3529316.139	2.256	0.00147
671412.374	3529316.036	2.256	0.00134
671412.506	3529315.932	2.257	0.00117
671412.639	3529315.826	2.257	0.00104
671412.773	3529315.720	2.257	0.00096
671412.908	3529315.612	2.258	0.00088
671413.045	3529315.502	2.258	0.00083
671413.183	3529315.392	2.258	0.00071
671413.322	3529315.281	2.258	0.00055
671413.463	3529315.168	2.258	0.00039
671413.605	3529315.055	2.258	0.00019
671413.749	3529314.940	2.258	0.00004
671413.894	3529314.825	2.258	-0.00013
671414.040	3529314.709	2.258	-0.00024
671414.188	3529314.591	2.258	-0.00027
671414.337	3529314.472	2.258	-0.00024
671414.487	3529314.353	2.258	-0.00024
671414.639	3529314.232	2.258	-0.00030
671414.792	3529314.110	2.258	-0.00039
671414.946	3529313.987	2.258	-0.00046
671415.102	3529313.863	2.257	-0.00052
671415.258	3529313.738	2.257	-0.00062
671415.417	3529313.612	2.257	-0.00068
671415.577	3529313.485	2.257	-0.00074
671415.738	3529313.357	2.257	-0.00089
671415.900	3529313.228	2.257	-0.00105
671416.064	3529313.098	2.256	-0.00119
671416.228	3529312.968	2.256	-0.00127
671416.394	3529312.837	2.256	-0.00147
671416.561	3529312.706	2.256	-0.00165
671416.730	3529312.574	2.256	-0.00189
671416.900	3529312.441	2.255	-0.00212
671417.071	3529312.307	2.255	-0.00226
671417.243	3529312.172	2.254	-0.00242
671417.416	3529312.037	2.254	-0.00268
671417.591	3529311.901	2.253	-0.00290
671417.767	3529311.764	2.252	-0.00310
671417.944	3529311.626	2.252	-0.00329
671418.123	3529311.488	2.251	-0.00354
671418.302	3529311.348	2.250	-0.00366
671418.482	3529311.208	2.249	-0.00384
671418.664	3529311.067	2.248	-0.00399
671418.847	3529310.926	2.247	-0.00408
671419.032	3529310.784	2.246	-0.00414
671419.217	3529310.642	2.245	-0.00426
671419.404	3529310.499	2.244	-0.00441
671419.592	3529310.355	2.243	-0.00447
671419.781	3529310.210	2.242	-0.00450
671419.970	3529310.062	2.241	-0.00456
671420.161	3529309.914	2.240	-0.00458
671420.353	3529309.766	2.239	-0.00467
671420.546	3529309.617	2.238	-0.00478
671420.741	3529309.467	2.236	-0.00494
671420.937	3529309.317	2.235	-0.00509
671421.134	3529309.166	2.234	-0.00535
671421.332	3529309.015	2.233	-0.00571
671421.532	3529308.862	2.232	-0.00620
671421.732	3529308.709	2.231	-0.00681
671421.933	3529308.554	2.229	-0.00741
