531839.588	4323186.446	5.156	-3.000	0.000	0	0
531839.361	4323186.555	5.156	-3.000	0.000	0	0
531839.059	4323186.699	5.154	-3.000	0.000	0	0
531838.817	4323186.814	5.153	-3.000	0.000	0	0
531838.286	4323187.066	5.149	-3.000	0.000	0	0
531838.021	4323187.192	5.148	-3.000	0.000	0	0
531837.834	4323187.281	5.147	-3.000	0.000	0	0
531837.637	4323187.372	5.143	-3.000	0.000	0	0
531837.432	4323187.465	5.141	-3.000	0.000	0	0
531836.074	4323188.086	5.136	-3.000	0.000	0	0
531835.445	4323188.369	5.132	-3.000	0.000	0	0
531834.073	4323188.966	5.118	-3.000	0.000	0	0
531833.334	4323189.280	5.118	-3.000	0.000	0	0
531832.098	4323189.809	5.118	-3.000	0.000	0	0
531829.518	4323190.917	5.116	-3.000	0.000	0	0
531829.020	4323191.132	5.116	-3.000	0.000	0	0
531828.177	4323191.492	5.117	-3.000	0.000	0	0
531827.495	4323191.787	5.117	-3.000	0.000	0	0
531827.151	4323191.935	5.117	-3.000	0.000	0	0
531826.456	4323192.233	5.117	-3.000	0.000	0	0
531825.220	4323192.768	5.117	-3.000	0.000	0	0
531823.959	4323193.314	5.117	-3.000	0.000	0	0
531823.414	4323193.548	5.114	-3.000	0.000	0	0
531822.499	4323193.939	5.110	-3.000	0.000	0	0
531822.130	4323194.096	5.108	-3.000	0.000	0	0
531821.944	4323194.174	5.107	-3.000	0.000	0	0
531821.003	4323194.564	5.105	-3.000	0.000	0	0
531818.898	4323195.429	5.098	-3.000	0.000	0	0
531816.529	4323196.375	5.092	-3.000	0.000	0	0
531815.930	4323196.617	5.092	-3.000	0.000	0	0
531813.287	4323197.679	5.096	-3.000	0.000	0	0
531812.255	4323198.101	5.099	-3.000	0.000	0	0
531811.632	4323198.358	5.099	-3.000	0.000	0	0
531810.169	4323198.967	5.103	-3.000	0.000	0	0
531809.114	4323199.408	5.106	-3.000	0.000	0	0
531807.623	4323200.032	5.105	-3.000	0.000	0	0
531807.408	4323200.121	5.105	-3.000	0.000	0	0
531805.894	4323200.744	5.105	-3.000	0.000	0	0
531805.676	4323200.835	5.105	-3.000	0.000	0	0
531803.705	4323201.652	5.105	-3.000	0.000	0	0
531801.707	4323202.476	5.105	-3.000	0.000	0	0
531801.484	4323202.568	5.105	-3.000	0.000	0	0
531800.584	4323202.939	5.105	-3.000	0.000	0	0
531798.117	4323203.958	5.104	-3.000	0.000	0	0
531797.216	4323204.328	5.102	-3.000	0.000	0	0
531794.947	4323205.248	5.095	-3.000	0.000	0	0
531794.486	4323205.435	5.094	-3.000	0.000	0	0
531792.390	4323206.277	5.092	-3.000	0.000	0	0
531791.451	4323206.653	5.091	-3.000	0.000	0	0
531790.275	4323207.124	5.091	-3.000	0.000	0	0
531789.096	4323207.595	5.091	-3.000	0.000	0	0
531787.676	4323208.158	5.092	-3.000	0.000	0	0
531787.439	4323208.254	5.093	-3.000	0.000	0	0
531785.532	4323209.023	5.096	-3.000	0.000	0	0
531784.334	4323209.512	5.099	-3.000	0.000	0	0
531783.615	4323209.811	5.101	-3.000	0.000	0	0
531781.928	4323210.511	5.107	-3.000	0.000	0	0
531779.998	4323211.319	5.109	-3.000	0.000	0	0
531776.844	4323212.655	5.113	-3.000	0.000	0	0
531774.890	4323213.492	5.116	-3.000	0.000	0	0
531773.413	4323214.125	5.113	-3.000	0.000	0	0
531770.930	4323215.171	5.108	-3.000	0.000	0	0
531768.923	4323216.004	5.107	-3.000	0.000	0	0
531766.652	4323216.944	5.106	-3.000	0.000	0	0
531765.128	4323217.574	5.103	-3.000	0.000	0	0
531763.856	4323218.100	5.100	-3.000	0.000	0	0
531762.064	4323218.835	5.098	-3.000	0.000	0	0
531759.486	4323219.875	5.095	-3.000	0.000	0	0
531758.449	4323220.291	5.094	-3.000	0.000	0	0
531757.927	4323220.498	5.094	-3.000	0.000	0	0
531756.882	4323220.914	5.094	-3.000	0.000	0	0
531755.577	4323221.435	5.093	-3.000	0.000	0	0
531753.226	4323222.390	5.093	-3.000	0.000	0	0
531751.124	4323223.245	5.093	-3.000	0.000	0	0
531750.597	4323223.460	5.094	-3.000	0.000	0	0
531749.272	4323223.992	5.095	-3.000	0.000	0	0
531748.208	4323224.422	5.096	-3.000	0.000	0	0
531746.339	4323225.177	5.098	-3.000	0.000	0	0
531745.270	4323225.614	5.101	-3.000	0.000	0	0
531744.200	4323226.051	5.101	-3.000	0.000	0	0
531743.129	4323226.492	5.100	-3.000	0.000	0	0
531740.704	4323227.479	5.099	-3.000	0.000	0	0
531740.433	4323227.589	5.099	-3.000	0.000	0	0
531738.001	4323228.582	5.099	-3.000	0.000	0	0
531736.098	4323229.362	5.099	-3.000	0.000	0	0
531732.549	4323230.811	5.101	-3.000	0.000	0	0
531730.633	4323231.603	5.102	-3.000	0.000	0	0
531730.085	4323231.828	5.103	-3.000	0.000	0	0
531728.714	4323232.398	5.104	-3.000	0.000	0	0
531726.256	4323233.413	5.106	-3.000	0.000	0	0
531724.646	4323234.081	5.109	-3.000	0.000	0	0
531722.815	4323234.849	5.111	-3.000	0.000	0	0
531722.558	4323234.959	5.112	-3.000	0.000	0	0
531721.538	4323235.395	5.112	-3.000	0.000	0	0
531719.544	4323236.244	5.111	-3.000	0.000	0	0
531717.603	4323237.061	5.111	-3.000	0.000	0	0
