utm_x	utm_y	yaw	 roadwheelAngle	 speed	 angular_velocity_x	 y	 z	 linear_acc_x	 y	 z	 lat_err	 yaw_err	 longitude	 latitude
671403.625	3529321.631	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.002	-0.000	-0.001	1.079	-0.248	118.8122948	31.8868085
671403.625	3529321.631	2.289	1.222	0.000	-0.000	0.000	-0.000	0.001	-0.002	0.005	1.079	-0.248	118.8122948	31.8868085
671403.625	3529321.631	2.289	1.222	0.000	0.000	0.000	0.000	-0.002	-0.005	0.005	1.079	-0.248	118.8122948	31.8868085
671403.625	3529321.631	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.000	-0.003	0.003	1.079	-0.248	118.8122948	31.8868085
671403.625	3529321.631	2.289	1.222	0.000	0.000	0.000	0.000	-0.002	0.001	0.002	1.079	-0.248	118.8122948	31.8868085
671403.625	3529321.631	2.289	1.222	0.000	0.000	0.000	0.000	-0.004	-0.005	-0.001	1.079	-0.248	118.8122948	31.8868085
671403.625	3529321.631	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.006	0.003	0.001	1.079	-0.248	118.8122948	31.8868085
671403.625	3529321.631	2.289	1.222	0.000	0.000	-0.000	0.000	-0.005	0.005	-0.002	1.079	-0.248	118.8122948	31.8868085
671403.625	3529321.631	2.289	1.222	0.000	0.000	-0.000	0.000	-0.001	0.006	0.001	1.079	-0.248	118.8122948	31.8868085
671403.625	3529321.631	2.289	1.222	0.000	0.000	-0.000	0.000	0.002	0.004	0.006	1.079	-0.248	118.8122948	31.8868085
671403.625	3529321.631	2.289	1.222	0.000	-0.000	-0.000	-0.000	0.001	0.002	0.002	1.079	-0.248	118.8122948	31.8868085
671403.625	3529321.631	2.289	1.222	0.000	-0.000	0.000	-0.000	-0.002	0.001	0.003	1.079	-0.248	118.8122948	31.8868085
671403.625	3529321.631	2.289	1.222	0.000	-0.000	-0.000	-0.000	-0.003	0.003	0.014	1.079	-0.248	118.8122948	31.8868085
