utm_x	utm_y	yaw	 roadwheelAngle	 speed	 angular_velocity_x	 y	 z	 linear_acc_x	 y	 z	 lat_err	 yaw_err	 longitude	 latitude
670828.460	3529874.237	3.100	0.620	0.000	-0.000	-0.000	-0.000	0.018	-0.007	-0.011	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.237	3.100	0.620	0.000	-0.000	0.000	-0.000	0.019	-0.020	-0.022	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.237	3.100	0.620	0.000	0.000	0.000	0.000	0.022	-0.017	-0.021	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.237	3.100	0.620	0.000	0.000	0.000	0.000	0.008	-0.006	-0.008	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.237	3.100	0.620	0.000	0.001	0.000	0.001	-0.001	-0.003	0.002	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.237	3.100	0.620	0.000	0.000	0.001	0.000	-0.010	0.011	0.022	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.237	3.100	0.620	0.000	-0.000	0.001	-0.000	-0.019	0.008	0.016	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.237	3.100	0.620	0.000	-0.001	0.000	-0.001	-0.010	0.008	0.003	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.237	3.100	0.620	0.000	-0.000	-0.000	-0.000	-0.015	-0.004	-0.010	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.237	3.100	0.620	0.000	-0.001	-0.001	-0.001	-0.005	-0.012	-0.021	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.237	3.100	0.620	0.000	-0.000	-0.001	-0.000	-0.014	-0.027	-0.042	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.237	3.100	0.620	0.000	0.000	-0.000	0.000	-0.003	-0.003	-0.007	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.237	3.100	0.620	0.000	0.000	-0.000	0.000	-0.002	0.005	0.013	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.237	3.100	0.620	0.000	-0.000	-0.000	-0.000	0.008	0.006	0.014	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.238	3.100	0.620	0.000	0.000	0.000	0.000	-0.002	0.003	-0.017	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.238	3.100	0.620	0.000	-0.002	-0.003	-0.002	0.062	0.034	0.020	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.238	3.100	0.620	0.000	-0.000	-0.001	-0.000	-0.000	-0.025	-0.041	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.237	3.100	0.602	0.000	-0.001	-0.001	-0.001	0.013	-0.009	-0.024	-0.503	0.061	118.8063134	31.8918781
670828.461	3529874.237	3.100	0.602	0.000	0.002	0.003	0.002	0.000	-0.057	-0.024	-0.503	0.061	118.8063134	31.8918781
